"X1","X2","X3","X4","X5","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"AALB009810","3R","3188129","3188542","-1","AATE019501","KI421887","3051053","3085665","1","AGAP011451","3L","24837125","24838804","-1","ASIS001660","KI916607","124341","124805","1"
"AALB001706","2L","30596240","30597796","-1","AATE012779","KI421890","3148257","3149915","-1","AGAP009110","3R","25663470","25664772","-1","ASIS014988","KI916206","623437","624929","-1"
"AALB009939","3R","5228975","5230228","-1","AATE002302","KI421893","2524130","2525408","-1","AGAP011970","3L","35696744","35698061","-1","ASIS018211","KI916233","413317","414636","-1"
"AALB003199","3L","1758897","1764750","-1","AATE015198","KI421891","6965072","6991611","-1","AGAP005173","2L","11368159","11374909","-1","ASIS016365","KI916286","323727","328605","-1"
"AALB008395","2R","27558480","27563052","1","AATE006049","KI421885","4779492","4785498","-1","AGAP004224","2R","52175093","52178805","-1","ASIS011648","KI916185","1074196","1079418","-1"
"AALB002699","2R","10168377","10169015","1","AATE012801","KI421888","5229172","5229804","1","AGAP001454","2R","5266433","5267166","1","ASIS017489","KI916183","2646156","2646788","1"
"AALB001818","2L","29270801","29273207","-1","AATE017104","KI421889","6211845","6214330","-1","AGAP008882","3R","20275732","20278118","1","ASIS014646","KI916266","438382","440809","1"
"AALB000376","2L","19016739","19019449","-1","AATE004127","KI421882","15318704","15324150","1","AGAP009910","3R","45197982","45200093","-1","ASIS003566","KI916488","82040","86704","-1"
"AALB008369","2R","28334742","28336228","1","AATE006340","KI421883","1056247","1060348","-1","AGAP002635","2R","24811173","24812613","1","ASIS011477","KI916191","1061744","1071343","1"
"AALB001505","2L","35074180","35075396","-1","AATE004577","KI421890","5465970","5469917","-1","AGAP008133","3R","6030948","6032182","1","ASIS002975","KI916315","298778","300637","1"
"AALB004878","3L","16568439","16573427","1","AATE001226","KI421891","6459876","6465426","-1","AGAP005159","2L","10773905","10775953","-1","ASIS001468","AXCK02018081","27385","29156","1"
"AALB000387","2L","18846432","18851805","1","AATE000132","KI421889","7944900","7946735","-1","AGAP007800","3R","1110058","1111890","1","ASIS020467","KI916225","98159","99991","1"
"AALB001300","2L","37927723","37933716","1","AATE000523","KI421882","12096116","12104410","-1","AGAP008268","3R","8099561","8108006","1","ASIS022827","KI916449","217033","225552","1"
"AALB002610","2R","11519803","11523206","-1","AATE010452","KI421883","5868805","5871316","-1","AGAP002110","2R","15742126","15743771","-1","ASIS023001","KI916264","851467","857003","-1"
"AALB006880","X","1000698","1010744","-1","AATE006248","KI421907","524002","547749","1","AGAP000198","X","3227256","3258334","1","ASIS009937","KI916285","608536","637917","1"
"AALB008662","2R","46782825","46785910","-1","AATE010330","KI421883","223991","226738","1","AGAP002691","2R","25648370","25650479","-1","ASIS011505","KI916191","1971868","1974584","-1"
"AALB009067","2R","5896954","5906860","-1","AATE010731","KI421883","12156588","12167851","-1","AGAP003374","2R","37121478","37130778","-1","ASIS000569","KI916359","181981","192861","-1"
"AALB004914","3L","17231277","17231991","-1","AATE002533","KI421884","1112695","1113860","-1","AGAP006918","2L","39995907","39997107","-1","ASIS019646","KI916204","1543453","1545772","-1"
"AALB001222","3R","31853545","31858217","1","AATE008205","KI421973","62094","66819","-1","AGAP010383","3L","2418050","2420425","1","ASIS000615","KI916419","138470","142928","-1"
"AALB004502","3L","10627011","10629153","-1","AATE016492","KI421884","10277553","10280034","-1","AGAP006649","2L","35666831","35668902","-1","ASIS017649","KI916192","158637","161018","1"
"AALB008039","2L","3257348","3258442","1","AATE009953","KI421882","2995656","2996506","-1","AGAP028026","3R","21097383","21098164","-1","ASIS005874","KI917311","19313","20172","-1"
"AALB010054","3R","7118299","7128543","1","AATE000093","KI421893","6805558","6807618","-1","AGAP011723","3L","32414119","32415889","-1","ASIS000063","KI916395","108019","109914","-1"
"AALB005681","3L","26474010","26475422","1","AATE006102","KI421886","1159895","1161322","-1","AGAP005930","2L","23829159","23830553","-1","ASIS001372","KI916221","852988","854436","1"
"AALB009449","2R","1267488","1272757","-1","AATE014308","KI421883","10493337","10497547","-1","AGAP004197","2R","51676369","51680752","-1","ASIS006106","KI916205","1387152","1391224","-1"
"AALB004792","3L","14756751","14766908","-1","AATE016221","KI421891","6264909","6270177","1","AGAP005145","2L","10539087","10543428","1","ASIS005493","KI916187","2552882","2558360","1"
"AALB014111","2L","4955635","4957384","1","AATE005009","KI421891","2477852","2479108","-1","AGAP028508","3L","16277341","16279624","-1","ASIS010350","KI916419","440164","440840","1"
"AALB006475","X","6027173","6029679","1","AATE009337","KI421895","378786","382639","-1","AGAP000614","X","11191463","11196870","-1","ASIS020502","KI916377","41187","46019","-1"
"AALB009223","2R","3784693","3786516","1","AATE008370","KI421888","2875409","2879062","1","AGAP002513","2R","22172281","22175751","-1","ASIS018149","KI916183","280752","283589","1"
"AALB003538","2R","40740802","40749849","-1","AATE010176","KI421892","695618","698661","-1","AGAP028484","2R","39810840","39824166","-1","ASIS018118","KI916432","208191","211970","1"
"AALB004596","3L","11938322","11949472","1","AATE012348","KI421886","314020","345547","-1","AGAP005595","2L","17595470","17607151","1","ASIS023514","KI916344","515088","538818","1"
"AALB008844","2R","9141315","9142253","-1","AATE017686","KI421888","4173801","4174520","-1","AGAP013033","2R","11690571","11691260","-1","ASIS003129","KI916183","1596268","1596864","-1"
"AALB007366","3R","28062513","28064359","-1","AATE003202","KI421909","1245788","1247129","1","AGAP010328","3L","884186","885693","1","ASIS002899","KI916748","93365","94747","1"
"AALB009066","2R","5938116","5950549","-1","AATE002600","KI421885","10309584","10314885","-1","AGAP003600","2R","40407412","40425098","-1","ASIS008877","KI916215","1131370","1136873","-1"
"AALB007695","X","9355123","9357914","-1","AATE009131","KI421896","3190955","3194906","1","AGAP000128","X","2057361","2061212","-1","ASIS009243","KI916316","329843","334262","-1"
"AALB008822","2R","9368526","9376882","-1","AATE013825","KI421888","4420591","4428721","-1","AGAP001899","2R","11955910","11963410","-1","ASIS014403","KI916183","1835357","1843381","-1"
"AALB010220","3R","10448514","10449266","-1","AATE004507","KI421901","2840288","2851618","1","AGAP012037","3L","36799960","36801498","-1","ASIS000743","KI916186","2232656","2233314","1"
"AALB009890","3R","4199431","4205179","-1","AATE009104","KI421899","1986720","2015754","1","AGAP011087","3L","16433170","16452458","1","ASIS014217","KI916693","32558","46822","1"
"AALB009587","2R","24069780","24076013","-1","AATE015184","KI421883","3636511","3641207","-1","AGAP001324","2R","2999289","3003685","-1","ASIS013664","KI916201","100240","102873","1"
"AALB015538","3L","12177486","12178093","1","AATE015366","KI421886","16033","16949","-1","AGAP005620","2L","17932982","17933710","1","ASIS022213","KI916546","10515","11261","-1"
"AALB009899","3R","4321185","4322755","1","AATE021113","KI421899","1839598","1842358","-1","AGAP011078","3L","16307137","16308684","-1","ASIS007286","KI916484","83511","85711","1"
"AALB000466","2L","17292746","17294032","1","AATE000178","KI421889","6998879","7001484","1","AGAP008838","3R","19290577","19292653","-1","ASIS017747","KI916209","1191014","1193459","-1"
"AALB007631","X","8696560","8699706","1","AATE018212","KI421898","294002","300437","-1","AGAP000961","X","18406758","18410245","1","ASIS017692","KI916638","184214","192056","-1"
"AALB003262","3L","2910627","2911808","-1","AATE015185","KI421884","2223652","2225534","1","AGAP006275","2L","29082536","29083876","1","ASIS007014","KI916247","883743","884777","1"
"AALB002111","2R","22316933","22318479","1","AATE019093","KI421904","675735","677393","1","AGAP012947","2R","19890611","19892029","1","ASIS001305","KI916240","858450","859883","1"
"AALB008042","2L","3284412","3286430","-1","AATE019458","KI421890","424478","437317","1","AGAP009011","3R","23512171","23514252","-1","ASIS015615","KI916189","1481672","1483882","-1"
"AALB004982","3L","17775497","17782936","-1","AATE012834","KI421884","8316688","8325570","1","AGAP004930","2L","6121201","6122720","1","ASIS001664","KI916225","100197","102597","-1"
"AALB001479","2L","35265661","35270374","1","AATE010453","KI421882","10109986","10119312","1","AGAP008362","3R","10049243","10054370","-1","ASIS023124","KI916190","1606992","1612328","1"
"AALB003103","2R","37099846","37101105","-1","AATE014888","KI421883","4646885","4648184","1","AGAP002937","2R","29855238","29856651","-1","ASIS017746","KI916207","451312","452666","-1"
"AALB000724","2L","12653636","12655706","1","AATE010982","KI421889","7466244","7470294","1","AGAP009609","3R","36994987","36998787","-1","ASIS005598","KI916214","292444","296464","1"
"AALB009690","2R","25367572","25368132","1","AATE017915","KI421883","2143767","2153980","-1","AGAP002594","2R","23681002","23682727","1","ASIS004997","KI916269","405523","407477","-1"
"AALB002181","2R","20964703","20970618","-1","AATE008500","KI421888","5712675","5718824","1","AGAP001978","2R","13020732","13042812","1","ASIS004081","KI916183","3108760","3115459","1"
"AALB001523","2L","34911181","34912177","1","AATE003840","KI421890","5240624","5242174","1","AGAP008157","3R","6263401","6264927","-1","ASIS000765","KI916315","562708","564161","-1"
"AALB002263","2R","19393511","19396673","-1","AATE015334","KI421888","6889772","6892061","-1","AGAP002421","2R","21072562","21077555","-1","ASIS006985","KI916211","57549","59210","1"
"AALB000207","2L","21768109","21768945","-1","AATE019000","KI421889","4903829","4904792","1","AGAP013747","3R","4021692","4022706","-1","ASIS018631","KI916198","1785068","1785948","-1"
"AALB002496","2R","13498432","13499267","-1","AATE003052","KI421892","2962206","2962928","1","AGAP003770","2R","43134325","43135314","1","ASIS015566","KI916193","1354559","1355256","1"
"AALB007848","2L","230124","235044","-1","AATE018206","KI421900","1990852","1995606","1","AGAP010203","3R","50687948","50692599","-1","ASIS004385","KI916198","1417873","1421750","1"
"AALB008478","3R","23798082","23798966","1","AATE014464","KI421903","490216","491091","1","AGAP011361","3L","21978827","21979705","1","ASIS018844","KI916196","1628825","1629703","-1"
"AALB000059","2L","25075694","25076469","-1","AATE010716","KI421889","1963309","1964103","-1","AGAP008612","3R","13592192","13592879","-1","ASIS015443","KI916383","80858","81619","1"
"AALB005884","3L","28852237","28854579","-1","AATE020114","KI421886","1018228","1020588","1","AGAP005127","2L","10331961","10336460","-1","ASIS000498","KI916353","313585","315945","1"
"AALB004180","3L","5081521","5082581","-1","AATE021072","KI421891","6077112","6079859","1","AGAP005096","2L","9978240","10024330","-1","ASIS018452","KI916187","2353991","2357563","1"
"AALB009665","2R","24926782","24928347","-1","AATE015525","KI421885","7965146","7968021","1","AGAP002228","2R","17790877","17793760","1","ASIS005725","KI916194","1614108","1617433","-1"
"AALB001365","2L","36810049","36812248","-1","AATE014588","KI421882","19593998","19600881","1","AGAP007878","3R","2456409","2458757","1","ASIS021441","KI916350","1621","3722","-1"
"AALB007868","2L","545163","549200","-1","AATE018497","KI421900","608553","611611","-1","AGAP010223","3R","51184227","51186053","-1","ASIS014611","KI916198","66525","68538","-1"
"AALB007964","2L","1790984","1793271","-1","AATE015141","KI421889","447096","449954","-1","AGAP010058","3R","48491563","48493235","1","ASIS004049","KI916530","231669","234916","-1"
"AALB001415","2L","36218735","36219175","1","AATE014452","KI421882","19681796","19682419","1","AGAP007893","3R","2560282","2560826","1","ASIS019721","KI916467","51608","52295","1"
"AALB002665","2R","10540819","10553887","-1","AATE017892","KI421888","5662897","5669423","-1","AGAP001968","2R","12988769","12990379","-1","ASIS012722","KI916183","3069495","3071124","-1"
"AALB007629","X","8685413","8687780","1","AATE010923","KI421977","16461","30379","1","AGAP000011","X","127704","134756","-1","ASIS011411","KI916386","242575","252057","1"
"AALB005383","3L","23035970","23036469","1","AATE007875","KI421886","10619059","10619566","-1","AGAP006722","2L","37233354","37233690","1","ASIS003728","KI916346","159144","159706","1"
"AALB007349","3L","1384650","1386907","1","AATE003827","KI421894","3843522","3850320","-1","AGAP005088","2L","9875257","9877489","1","ASIS022536","AXCK02030343","1","1104","1"
"AALB003180","2R","38386821","38388346","-1","AATE003986","KI421885","1342081","1344912","1","AGAP004297","2R","54160060","54162508","1","ASIS022177","KI916217","602691","605260","-1"
"AALB005477","3L","24003892","24005301","1","AATE019431","KI421905","2222264","2224185","-1","AGAP007323","2L","45345208","45345926","-1","ASIS008675","KI917233","3245","4030","-1"
"AALB001306","2L","37674836","37680134","1","AATE017505","KI421882","11579412","11580197","1","AGAP008280","3R","8556979","8558021","-1","ASIS003042","KI916200","592297","594995","-1"
"AALB004100","3L","3760455","3761342","-1","AATE010422","KI421884","2896708","2898618","-1","AGAP006344","2L","29976298","29977639","-1","ASIS005156","KI916224","202278","203958","1"
"AALB008535","2R","48766541","48768265","1","AATE020396","KI421892","5857195","5858928","-1","AGAP004309","2R","54355380","54357498","1","ASIS013211","KI916271","543201","544940","1"
"AALB002598","2R","11760446","11761149","-1","AATE007376","KI421883","11902651","11903437","1","AGAP012823","UNKN","31704582","31705072","-1","ASIS014769","KI916268","824498","825226","1"
"AALB001296","2L","37953313","37954887","1","AATE015516","KI421882","12112733","12118182","1","AGAP008265","3R","8085120","8087104","-1","ASIS002974","KI916449","203381","205349","-1"
"AALB002170","2R","21025405","21026238","-1","AATE020886","KI421885","8434589","8435422","-1","AGAP002257","2R","18229188","18230485","-1","ASIS019294","KI916194","978965","979798","1"
"AALB002324","2R","15830288","15831313","-1","AATE008618","KI421892","5685860","5686867","1","AGAP002831","2R","28086296","28088069","1","ASIS003213","KI916271","755423","756430","-1"
"AALB002428","2R","14335222","14337728","1","AATE003201","KI421883","7246249","7255919","-1","AGAP003047","2R","31426492","31435204","-1","ASIS002927","KI916309","298382","312732","-1"
"AALB007146","2R","17755835","17758737","1","AATE012974","KI421897","2505983","2509687","1","AGAP002004","2R","13406060","13409137","1","ASIS008263","KI916183","3457327","3460161","1"
"AALB009194","2R","4340426","4342443","1","AATE008870","KI421888","2437090","2439246","1","AGAP001294","2R","2623887","2626235","1","ASIS009474","KI916782","48287","50382","-1"
"AALB001469","2L","35471904","35475041","1","AATE004715","KI421882","10376512","10381849","1","AGAP008353","3R","9738104","9741430","-1","ASIS017730","KI916190","1909620","1914386","1"
"AALB003804","3R","916348","921377","1","AATE016332","KI421887","9837735","9842599","-1","AGAP012404","3L","41748911","41753784","1","ASIS018811","KI916541","135864","142338","1"
"AALB009625","2R","24451038","24451834","-1","AATE001660","KI421885","4026470","4027670","1","AGAP002053","2R","14656432","14657743","1","ASIS011986","KI916213","541086","542319","1"
"AALB010315","3R","11900288","11902690","1","AATE006331","KI421887","6474160","6481613","1","AGAP011678","3L","31279278","31281450","1","ASIS021660","KI916598","73208","75411","1"
"AALB010384","3R","12740659","12741464","1","AATE016169","KI421887","8794014","8794866","1","AGAP011829","3L","33879862","33880524","-1","ASIS019480","KI916326","254941","255549","-1"
"AALB004400","3L","8163383","8174922","-1","AATE018053","KI421894","3335841","3346299","1","AGAP005275","2L","13532519","13542252","1","ASIS004873","KI916861","45984","58397","1"
"AALB002065","2R","23065830","23071123","1","AATE005881","KI421897","1927315","1944255","-1","AGAP002366","2R","20672967","20677672","1","ASIS009598","KI916211","1408792","1414667","1"
"AALB001538","2L","34704565","34707546","-1","AATE018913","KI421882","11273827","11276910","1","AGAP008312","3R","8862223","8864527","-1","ASIS002795","KI916200","947262","950250","-1"
"AALB001591","2L","33810426","33811987","1","AATE016601","KI421912","248254","250209","-1","AGAP012798","UNKN","29779865","29781627","-1","ASIS003183","KI916301","89480","91981","-1"
"AALB007799","KB672420","36021","41649","-1","AATE013775","KI421895","3219037","3226503","-1","AGAP012954","X","792020","793596","-1","ASIS018453","KI916368","249610","255167","-1"
"AALB008912","2R","7975491","7976741","-1","AATE019055","KI421914","486489","491523","1","AGAP003375","2R","37163718","37164578","-1","ASIS018205","KI916310","77366","79210","-1"
"AALB001710","2L","30587167","30587570","1","AATE018714","KI421890","3137105","3138547","-1","AGAP009108","3R","25653379","25654832","-1","ASIS017887","KI916206","606860","618953","-1"
"AALB004040","3R","21335034","21335789","1","AATE002400","KI421893","4901299","4902252","1","AGAP012136","3L","38000934","38001850","1","ASIS017570","KI916195","578555","579467","1"
"AALB003996","3R","22124137","22125933","1","AATE008989","KI421909","363500","366363","1","AGAP010479","3L","4181864","4184643","-1","ASIS009849","KI916229","1000489","1002448","1"
"AALB006426","X","6431001","6431493","1","AATE021192","KI421898","8301","9285","1","AGAP000278","X","5035248","5036100","-1","ASIS012989","KI916765","46898","47593","1"
"AALB009023","2R","6694877","6696549","1","AATE009026","KI421885","3175405","3177660","1","AGAP012591","UNKN","18231007","18232775","-1","ASIS007647","KI916544","188009","189663","-1"
"AALB008690","2R","46342309","46349348","-1","AATE010945","KI421892","3576780","3584554","1","AGAP004437","2R","55996972","56006061","1","ASIS014715","KI916193","1999772","2007620","1"
"AALB000341","2L","19636517","19639638","-1","AATE004234","KI421889","4946066","4951042","-1","AGAP007998","3R","3976429","3980514","1","ASIS022545","KI916198","1735724","1740815","1"
"AALB005387","3L","23082221","23088923","1","AATE001874","KI421886","10548245","10557844","-1","AGAP006728","2L","37296161","37298202","1","ASIS014562","KI916346","218850","222294","1"
"AALB004343","3L","7640371","7641859","1","AATE000330","KI421894","1606259","1608595","-1","AGAP005236","2L","12692890","12697320","-1","ASIS003449","KI916293","80743","82014","1"
"AALB002666","2R","10537540","10539932","1","AATE014896","KI421888","5644630","5647226","1","AGAP001964","2R","12971258","12973402","1","ASIS001563","KI916183","3051092","3053476","1"
"AALB009201","2R","4194607","4197634","1","AATE017476","KI421888","2283337","2286577","1","AGAP001286","2R","2472438","2475513","1","ASIS011646","KI916757","35128","38169","-1"
"AALB002929","2R","51024684","51034045","-1","AATE000031","KI421900","1585593","1600846","1","AGAP012488","UNKN","7099119","7100741","-1","ASIS006325","KI916198","1030482","1041713","1"
"AALB000671","2L","13526307","13532923","-1","AATE014076","KI422001","14787","15888","-1","AGAP009066","3R","25388668","25396447","1","ASIS014530","KI916315","609162","610390","-1"
"AALB010075","3R","7447118","7448365","-1","AATE018836","KI421899","4484219","4486898","1","AGAP012308","3L","40063125","40064369","1","ASIS013524","KI916567","212499","213728","1"
"AALB000575","2L","15013414","15016791","-1","AATE001130","KI421890","2253570","2272245","1","AGAP009957","3R","46464354","46465412","1","ASIS009345","KI916483","313904","316813","-1"
"AALB010292","3R","11468978","11484334","1","AATE013124","KI421887","6045708","6051355","1","AGAP011641","3L","30629104","30635546","1","ASIS006974","KI916403","369455","374847","1"
"AALB003708","3R","1481","2050","1","AATE007912","KI421884","11052880","11055545","1","AGAP007722","2L","49276905","49278748","1","ASIS020801","KI916184","1071667","1073956","1"
"AALB009062","2R","6171948","6174907","1","AATE010878","KI421885","10561121","10568418","1","AGAP002336","2R","20216981","20220319","1","ASIS021549","KI916201","1256054","1264419","1"
"AALB004052","3R","21257844","21259372","1","AATE005515","KI421893","4821350","4822399","1","AGAP012129","3L","37935004","37936459","1","ASIS001893","KI916195","478795","480326","1"
"AALB010262","3R","10765756","10769334","1","AATE016864","KI421887","8899034","8925434","1","AGAP011815","3L","33705848","33712398","-1","ASIS014534","KI916461","87726","91811","1"
"AALB010717","3R","18105081","18107513","-1","AATE012856","KI421887","3216218","3218137","-1","AGAP010764","3L","10011452","10012510","1","ASIS023285","KI916519","115211","116555","1"
"AALB009431","2R","1371140","1372197","1","AATE003780","KI421888","1909256","1910507","-1","AGAP001139","2R","570584","572350","1","ASIS001745","KI916312","429239","429892","-1"
"AALB002702","2R","10144025","10148576","1","AATE020406","KI421888","5188465","5207267","1","AGAP001957","2R","12809543","12829007","1","ASIS000203","KI916183","2618628","2620154","1"
"AALB003470","2R","41529829","41535350","1","AATE001873","KI421892","3241695","3248235","-1","AGAP004397","2R","55604194","55617857","-1","ASIS001539","KI916193","1644664","1669932","-1"
"AALB003215","3L","2421267","2426988","1","AATE007415","KI421905","462774","464003","1","AGAP005206","2L","12222491","12223348","1","ASIS010404","KI916197","1652907","1653770","-1"
"AALB008327","2R","28797682","28801903","-1","AATE010849","KI421908","1301041","1303675","1","AGAP004613","2R","58410920","58427284","-1","ASIS012958","KI916199","1398332","1399029","1"
"AALB004264","3L","6514777","6519576","1","AATE005160","KI421891","5348872","5361850","1","AGAP005886","2L","23164762","23171338","1","ASIS002219","KI916187","1517057","1533235","1"
"AALB009692","2R","25394429","25401642","1","AATE019172","KI421892","949659","954171","-1","AGAP003576","2R","40087271","40092100","-1","ASIS017219","KI916468","274569","279888","1"
"AALB004455","3L","9363594","9368327","1","AATE014805","KI421884","7112105","7117226","1","AGAP005809","2L","21620403","21623334","-1","ASIS008330","KI916218","60413","64818","-1"
"AALB005696","3L","26702853","26705012","-1","AATE014187","KI421884","733488","739895","1","AGAP006897","2L","39569238","39571572","1","ASIS020654","AXCK02030431","44","733","1"
"AALB009366","2R","2314258","2317117","1","AATE021099","KI421888","939234","946441","-1","AGAP001211","2R","1585468","1589997","1","ASIS021610","KI916327","12899","17386","1"
"AALB002363","2R","15299772","15300143","-1","AATE008862","KI421888","8748159","8748530","-1","AGAP001408","2R","4206543","4207195","1","ASIS020403","KI916428","170610","170981","-1"
"AALB007906","2L","1044269","1049391","1","AATE020858","KI421900","3134737","3139514","1","AGAP010152","3R","49511724","49516150","-1","ASIS020663","KI916190","113445","118219","-1"
"AALB001033","2L","7354315","7359118","-1","AATE019668","KI421882","9226313","9231497","-1","AGAP009255","3R","29967386","29970279","1","ASIS012541","KI916257","239321","242952","-1"
"AALB010320","3R","11928560","11931637","1","AATE013866","KI421887","6503579","6504925","1","AGAP028600","3L","31315641","31317135","1","ASIS014417","KI916598","109473","110619","1"
"AALB000446","2L","17652394","17658841","-1","AATE020322","KI421882","14791830","14800565","1","AGAP009831","3R","44033191","44041412","-1","ASIS018368","KI916270","268858","278375","-1"
"AALB000712","2L","12790565","12806829","-1","AATE009234","KI421889","4320310","4325798","-1","AGAP008512","3R","11475679","11504073","-1","ASIS019561","KI916214","444422","467160","-1"
"AALB007387","3R","27431797","27438685","-1","AATE020954","KI421902","20435","37011","1","AGAP011322","3L","21051375","21061269","-1","ASIS023055","KI916357","529206","548564","-1"
"AALB008481","3R","23741726","23748020","-1","AATE013057","KI421903","425886","428639","-1","AGAP011358","3L","21847951","21850205","-1","ASIS004472","KI916196","1697832","1700572","1"
"AALB008541","2R","48737443","48738476","-1","AATE008325","KI421885","5790966","5793754","-1","AGAP004255","2R","53327559","53329297","-1","ASIS001881","KI916540","70550","73334","-1"
"AALB003665","2R","38793917","38797079","-1","AATE006274","KI421885","3498359","3510785","1","AGAP004211","2R","51929270","51933174","1","ASIS004303","KI917336","17881","19701","1"
"AALB007589","3R","29034097","29037925","-1","AATE018235","KI421910","1298174","1303184","-1","AGAP010428","3L","3183627","3188651","-1","ASIS017484","KI916475","10244","14673","1"
"AALB002357","2R","15313103","15314003","1","AATE018806","KI421892","5065000","5066830","-1","AGAP001401","2R","4191972","4193497","-1","ASIS003829","KI916219","1002828","1004635","-1"
"AALB004067","3R","21131202","21132038","1","AATE019437","KI421893","7709835","7710623","1","AGAP011542","3L","26974445","26975221","1","ASIS017379","KI916369","140584","141393","1"
"AALB004794","3L","14805961","14813227","1","AATE002538","KI421891","6215663","6223017","-1","AGAP005143","2L","10477353","10495460","-1","ASIS008609","KI916187","2493917","2499405","-1"
"AALB006055","3L","30971979","30976358","-1","AATE008280","KI421891","1822501","1856452","-1","AGAP006101","2L","26651541","26682287","1","ASIS014882","KI917315","713","10256","1"
"AALB007518","3R","32321319","32327645","1","AATE014119","KI421894","5377675","5388649","1","AGAP004798","2L","3638641","3645721","-1","ASIS014744","KI916236","585986","598715","1"
"AALB005652","3L","26009189","26009665","1","AATE008259","KI421886","2015237","2015722","1","AGAP007197","2L","44192386","44192868","-1","ASIS017930","KI916325","231984","232472","1"
"AALB005441","3L","23617575","23620795","1","AATE003697","KI421884","12835045","12846224","-1","AGAP007659","2L","48830023","48841516","1","ASIS014974","KI916184","777004","786854","1"
"AALB015772","2L","25962718","25965547","-1","AATE008319","KI421882","1711477","1713911","1","AGAP008962","3R","22241346","22243318","-1","ASIS004867","KI916498","215598","217790","1"
"AALB010772","3R","19226402","19227400","1","AATE018145","KI421899","1197840","1198782","1","AGAP011131","3L","17689307","17690340","1","ASIS003298","KI916580","59884","60819","1"
"AALB002438","2R","14275418","14277667","1","AATE003616","KI421883","7331048","7333681","-1","AGAP001702","2R","8802220","8804542","1","ASIS017076","KI916309","368548","370773","-1"
"AALB010117","3R","8355999","8369690","-1","AATE013601","KI421893","3071196","3077321","1","AGAP028012","3L","36219980","36225720","1","ASIS011590","KI916730","142366","144432","1"
"AALB002970","2R","34533741","34543439","-1","AATE010067","KI421904","1580920","1585952","1","AGAP004562","2R","57614226","57616878","1","ASIS009883","KI916269","218356","224643","-1"
"AALB003135","2R","37467971","37470876","-1","AATE001619","KI421892","4507352","4509088","1","AGAP013133","2R","43662412","43664170","1","ASIS014651","KI916219","379913","385201","1"
"AALB004775","3L","14496263","14498285","-1","AATE016506","KI421891","5583501","5615115","1","AGAP005898","2L","23359155","23430017","1","ASIS008503","AXCK02018180","10448","27352","1"
"AALB006234","3L","33380078","33387104","1","AATE018852","KI421884","11546042","11553650","1","AGAP007556","2L","47549851","47555651","-1","ASIS000133","KI916184","1540257","1547449","1"
"AALB009545","2R","75239","78520","-1","AATE009368","KI421883","8703705","8706948","-1","AGAP003207","2R","33885423","33887223","-1","ASIS000169","KI916317","206188","209637","1"
"AALB005748","3L","27301617","27302420","-1","AATE001617","KI421884","10854833","10856433","1","AGAP007391","2L","46280486","46282128","1","ASIS007859","KI916184","2718242","2719911","-1"
"AALB009893","3R","4287212","4290631","1","AATE007731","KI421899","1882504","1885689","-1","AGAP011084","3L","16351133","16353867","-1","ASIS006358","KI916484","38180","41398","1"
"AALB001107","2L","5748454","5750211","1","AATE020201","KI421890","8249783","8254849","-1","AGAP028006","3R","16049291","16056014","-1","ASIS001922","AXCK02023278","112","1851","-1"
"AALB010794","3R","19659292","19662823","1","AATE001758","KI421901","1055533","1059654","-1","AGAP012218","3L","38976274","38979787","1","ASIS023334","KI916254","530452","534450","-1"
"AALB006498","X","5843921","5845045","1","AATE006791","KI421896","4158427","4161464","-1","AGAP000649","X","11597718","11599288","-1","ASIS022067","KI916262","585488","587360","-1"
"AALB010398","3R","12885901","12887077","-1","AATE000730","KI421901","3349601","3350452","-1","AGAP010591","3L","6563226","6564786","-1","ASIS007702","KI916256","766596","768055","1"
"AALB005110","3L","19723895","19725937","1","AATE015749","KI421884","12465455","12473758","-1","AGAP007439","2L","46595186","46597354","1","ASIS015108","KI916184","2448290","2455689","-1"
"AALB002973","2R","34577895","34579501","-1","AATE008216","KI421904","1555428","1557110","1","AGAP004556","2R","57587577","57589224","1","ASIS014501","KI916191","2568708","2570400","1"
"AALB008390","2R","27721174","27721788","1","AATE000029","KI421885","4605417","4608746","-1","AGAP012739","UNKN","26294438","26294797","-1","ASIS000181","AXCK02025179","717","1303","-1"
"AALB002627","2R","11114168","11115089","-1","AATE015379","KI421883","5348079","5348972","-1","AGAP003621","2R","40592264","40593130","1","ASIS021253","KI916264","408752","409639","-1"
"AALB009855","3R","3723633","3725099","-1","AATE015261","KI421902","1779068","1789824","1","AGAP010506","3L","5185540","5186359","-1","ASIS002659","KI916347","502814","513499","-1"
"AALB002924","2R","50998017","50999475","1","AATE001225","KI421900","1546804","1548444","-1","AGAP010298","3R","52655670","52657280","1","ASIS001491","KI916198","973955","976123","-1"
"AALB006873","X","1152233","1157060","-1","AATE008512","KI421898","2564298","2574494","-1","AGAP001081","X","23370755","23374875","-1","ASIS020456","KI916285","662924","675540","-1"
"AALB010082","3R","7492234","7494252","1","AATE001802","KI421899","4103377","4114351","1","AGAP012296","3L","39836357","39838568","1","ASIS009960","AXCK02025882","3","2153","-1"
"AALB009145","2R","4915300","4918741","-1","AATE012815","KI421888","8281543","8284639","1","AGAP001534","2R","5936131","5939052","-1","ASIS021958","KI916335","220663","223627","1"
