alb_id alb_chr alb_start alb_end alb_strand atr_chr atr_start atr_end atr_strand gam_chr gam_start gam_end gam_strand sin_chr sin_start sin_end sin_strand
AALB006361 X 7543745 8184 -1 X 11704343 17160 1 X 14419729 15808 1 X 5740586 254 1
AALB005135 3L 156522512 788 -1 2L 73696836 6114 1 2L 132516382 962 -1 2L 49399468 30 -1
AALB004012 3R 123716673 1571 1 3L 189807032 1442 1 3L 209843603 2067 1 3L 67545598 1412 -1
AALB001675 2L 95461606 3139 -1 2R 41399728 3207 1 3R 161890283 2438 -1 2R 27914041 2390 1
AALB005237 3L 157727469 4270 1 2L 75253235 4320 -1 2L 119637917 3947 1 2L 51295126 64 -1
AALB006464 X 6146876 947 1 X 2108241 34907 1 X 13559147 1001 -1 X 2415146 1064 -1
AALB001353 2L 100844412 7501 -1 2R 16808056 9433 -1 3R 137379157 7244 1 2R 13351614 2910 -1
AALB003214 3L 138994544 329 1 2L 83651425 329 1 2L 97870981 787 1 2L 45597718 329 -1
AALB006159 3L 168910677 5766 -1 2L 95553206 27185 -1 2L 111821657 7423 -1 2L 44352296 141 1
AALB006696 X 3350607 3116 -1 X 2193367 4178 -1 X 7193219 2665 1 X 2348498 383 1
AALB004828 3L 152057203 3122 -1 2L 71620561 4152 1 2L 121229727 3944 1 2L 52524547 158 1
AALB002321 2R 28033053 5751 -1 3R 138309650 5986 1 2R 52323762 5348 1 3R 58508798 194 -1
AALB006450 X 6269631 2085 -1 X 7814211 2035 -1 X 154424 865 -1 X 604476 6 1
AALB003755 3R 102361266 2681 -1 3L 169444482 1502 1 3L 223314155 2737 -1 3L 78013006 319 -1
AALB004121 3L 140897663 4285 1 2L 64867949 5198 1 2L 103844000 3177 -1 2L 48256109 165 -1
AALB006658 X 3912611 2139 -1 X 13854 3384 -1 X 15343949 1925 -1 3L 71940193 83 1
AALB008780 2R 63580242 3801 -1 2R 57680126 2432 1 3R 185400605 2389 1 2L 34615898 803 -1
AALB002982 2R 46845452 1145 -1 3R 159163554 11661 1 2R 81758702 1064 1 3R 61866673 115 -1
AALB010811 3R 121765163 1668 1 3L 187120572 2515 1 3L 226363330 1226 1 3L 69796391 68 1
AALB005281 3L 158454566 2364 1 2L 82460478 2502 1 2L 124250604 1718 1 2L 50495266 32 1
AALB006577 X 4790543 19929 -1 X 9837859 8363 1 X 7860156 11569 -1 X 8319199 131 -1
AALB000892 2L 74188726 3633 -1 2R 47014123 1279 -1 3R 182597710 1536 -1 2R 29824716 92 -1
AALB000645 2L 77816415 1861 1 2R 40761578 3675 1 3R 162705533 2407 -1 2R 27248328 510 1
AALB006186 3L 169299041 6548 -1 2L 96255013 2621 1 2L 123098863 6563 -1 2L 43624191 121 -1
AALB006643 X 4097654 1659 -1 X 11254143 6364 1 X 1035905 1250 1 X 6143447 404 -1
AALB006801 X 1968882 3046 -1 X 867824 3039 -1 X 20424066 3836 1 X 12145699 209 1
AALB009892 3R 106208507 9009 -1 3L 183426967 7596 -1 3L 204468486 9084 1 3L 73993648 249 -1
AALB005749 3L 163891586 2646 1 2L 72294868 3034 -1 2L 131949770 2631 -1 2L 49885762 1551 1
AALB010233 3R 112472714 7893 1 3L 176926585 4440 1 3L 194555751 3485 -1 3L 64490588 501 1
AALB006617 X 4428769 1233 -1 X 11673372 2890 -1 X 1532552 2314 -1 X 5774272 185 -1
AALB007302 3L 136940273 4757 -1 2L 84065026 2971 1 2L 94316330 4194 -1 2L 45208025 911 -1
AALB003737 3R 102168222 1111 1 3L 169703020 922 -1 3L 222942530 1070 1 3L 77761863 257 -1
AALB015815 3L 160409155 18656 1 2L 73086751 21645 -1 2L 133121684 13673 1 2L 48832458 49 1
AALB006697 X 3348536 674 1 X 2198046 2017 -1 X 7190193 1342 1 X 2344050 124 1
AALB000970 2L 72779071 944 -1 2R 54404598 11161 1 3R 148758622 9456 -1 2R 21482422 197 1
AALB004689 3L 149835771 2748 1 2L 65270912 2176 1 2L 122102770 2015 1 2L 48683755 405 -1
AALB009327 2R 14865950 12656 -1 3R 103765517 1268 1 2R 26294359 1294 -1 3R 53310689 203 -1
AALB000442 2L 81642326 5676 1 2R 21565632 6793 1 3R 179095886 1113 1 2R 19810909 68 -1
AALB007696 X 9362324 2445 1 X 3181156 2778 -1 X 2108015 2804 -1 X 3885023 241 1
AALB015578 2L 74927550 1246 1 2R 27790935 1365 1 3R 178688646 1374 -1 2R 22360164 875 1
AALB006116 3L 168279064 2346 -1 2L 90607290 2618 1 2L 105880795 2018 1 2L 40180951 106 -1
AALB004806 3L 151576958 995 -1 2L 97916608 812 1 2R 62185008 704 1 X 5282068 644 -1
AALB009800 3R 105036735 1568 -1 3L 191663773 1472 -1 3L 212840060 1472 -1 3L 71062216 1472 1
AALB009430 2R 13565047 6042 -1 3R 105099729 6564 1 2R 24826814 6333 -1 3R 54715345 323 1
AALB015676 2R 57461944 992 1 3R 150416538 1182 -1 2R 79757406 1020 1 3R 60794335 140 1
AALB007760 X 10936768 2648 1 X 1022000 1760 -1 X 1937074 1353 -1 X 11938105 144 1
AALB001612 2L 97421562 3096 1 2R 17863909 3409 -1 3R 169724480 3291 1 2R 14383095 36 -1
AALB008783 2R 63557748 5152 -1 2R 57703627 7570 1 3R 185423298 6941 1 2R 31453183 147 -1
AALB009807 3R 105078886 1225 1 3L 164666495 1477 -1 3L 212893940 1255 1 3L 71013443 81 -1
AALB001535 2L 98680937 2492 -1 2R 21209963 1073 -1 3R 180424443 9233 1 2R 20202703 167 -1
AALB001116 2L 69619359 1418 -1 X 6805986 1760 1 X 17661067 1529 1 X 777378 146 1
AALB007300 3L 136920179 666 -1 2L 89321607 2343 -1 2L 93258083 1854 1 2L 38112518 129 1
AALB006040 3L 167419505 909 -1 2L 81579184 1772 1 2L 101009397 1292 1 2L 34323963 209 1
AALB015571 2L 91289446 1388 -1 2R 21833973 905 1 3R 179370706 1470 1 2R 19530962 902 -1
AALB010206 3R 111980941 3777 1 3L 176288181 3874 1 3L 193790440 3451 1 3L 68745636 75 -1
AALB006398 X 6805053 25464 1 X 6748722 11099 -1 X 4133151 30498 1 X 728983 32 -1
AALB015601 2R 35165977 907 1 3R 150410257 1510 1 2R 79767424 765 -1 3R 60802765 131 -1
AALB006088 3L 167997295 1482 -1 2L 69452830 16922 -1 2L 94552965 2572 1 2L 36781901 67 1
AALB001480 2L 99217053 1455 -1 2R 26222600 2437 1 3R 145078835 2067 1 2R 30815876 248 1
AALB015636 3R 125305593 1502 -1 3L 164457793 1640 -1 3L 213095178 1492 1 3L 70815119 464 -1
AALB008403 2R 39522599 1912 1 X 1364725 1531 -1 X 8221968 3414 1 X 10820832 357 -1
AALB010565 3R 117626227 1378 1 3L 161871098 1497 1 3L 207390360 1465 1 3L 63468402 6 1
AALB003760 3R 102389293 4843 -1 3L 169411765 6270 1 3L 223351610 7827 -1 3L 78043035 152 -1
AALB010757 3R 120864092 569 -1 3L 174763769 934 -1 3L 205115986 857 -1 3L 72427079 101 1
AALB003091 2R 48858161 1893 -1 3R 118061293 950 -1 2R 48032043 1745 1 3R 59946941 1603 -1
AALB006410 X 6569682 1577 1 X 116963 7625 1 X 5934317 1879 1 X 4507300 1985 -1
AALB009883 3R 106086638 4674 -1 3L 183247190 5982 -1 3L 196023283 7633 -1 3L 73824255 976 -1
AALB006283 X 8455890 1932 1 X 7724618 4058 -1 X 2992904 4107 -1 X 530542 828 -1
AALB010881 2R 61179253 3777 -1 X 10643956 1888 -1 X 12128805 1439 -1 X 2900577 141 1
AALB009383 2R 14183344 1024 1 3R 104438967 2305 -1 2R 25512325 1210 1 3R 54083072 209 -1
AALB006434 X 6396199 1458 -1 X 15688861 2154 -1 X 15378924 4378 1 X 11611381 35 1
AALB010252 3R 112624568 625 1 3L 170403426 893 1 3L 221935968 405 -1 3L 75714945 36 -1
AALB004188 3L 141796109 1533 -1 2L 77258816 5288 -1 2L 95798527 1718 -1 2L 42987432 339 -1
AALB006629 X 4272163 5207 -1 X 11487552 7000 -1 X 1264727 2050 -1 X 186220 475 1
AALB004986 3L 154433624 880 -1 2L 69686447 1503 1 2L 91687516 1274 1 2L 36568934 308 -1
AALB001407 2L 100210047 13805 -1 2R 16585492 8238 1 3R 137859333 14384 -1 2R 13145112 574 1
AALB004992 3L 154554684 534 -1 2L 69501740 867 1 2L 94493398 660 -1 2L 36721755 62 1
AALB007111 3R 128730056 2162 1 3L 164128837 2827 1 3L 213420152 1042 -1 3L 70504597 161 1
AALB005294 3L 158615220 874 1 2L 82595374 2914 1 2L 124424191 3577 1 2L 50625696 1259 1
AALB006035 3L 167403821 1826 -1 2L 81598001 2156 1 2L 101035561 2014 1 2L 34355613 223 1
AALB015549 3R 102476054 2098 -1 3L 169304815 2112 1 3L 223521622 2044 -1 3L 78156940 63 -1
AALB000055 2L 89053383 10120 -1 2R 46404761 2324 1 3R 181945407 2044 1 2R 29185334 1766 1
AALB015684 3R 128359000 3028 1 3L 186740181 4620 1 3L 220939533 3641 -1 3L 65536727 1554 1
AALB007534 3R 134101308 2605 1 X 15182630 5400 1 2R 46117833 2349 -1 X 3585633 40 1
AALB009064 2R 18163766 4517 -1 3R 150576825 3949 -1 2R 57657832 2205 1 3R 60636364 281 1
AALB000764 2L 76070639 998 -1 2R 36231363 998 -1 3R 152407509 857 1 2R 18429734 998 1
AALB002916 2R 63134917 8308 -1 2R 58539757 14416 1 3R 187477071 97045 -1 2R 33335060 281 1
AALB005272 3L 158179463 695 1 2L 82178530 17549 1 2L 123950883 668 1 2L 50248646 401 1
AALB006575 X 4822555 6601 -1 X 9806267 8319 1 X 7904010 9800 -1 X 8343525 188 -1
AALB010016 3R 108192262 3289 -1 3L 171439023 13504 -1 3L 225779800 4011 -1 3L 76786193 61 1
AALB006470 X 6060861 5124 -1 X 4922582 3433 -1 X 7638218 6515 1 X 7353686 13 1
AALB006344 X 7796254 3908 -1 X 7565730 5426 -1 X 1574720 1585 1 X 389554 184 -1
AALB010836 3R 121993723 2225 -1 3L 170706672 3298 1 3L 228186806 2604 1 3L 75994399 312 1
AALB005816 3L 164579591 2508 1 2L 90567488 2474 1 2L 105834159 2420 1 2L 40221021 187 -1
AALB000444 2L 81621753 3872 1 2R 21546896 1929 1 3R 179071321 1546 1 2R 19828631 162 -1
AALB006119 3L 168306856 984 -1 2L 63210295 1226 -1 2L 102522052 1309 1 2L 46549519 547 1
AALB007036 3R 127781457 4658 1 3L 179462915 4791 -1 3L 206387809 3751 -1 3L 67893966 1227 1
AALB010255 3R 112669865 741 -1 3L 170428534 23387 -1 3L 221867092 626 1 3L 75752424 378 -1
AALB001760 2L 94066430 14848 -1 2R 20172539 1858 -1 3R 166212369 1962 1 2R 16608518 108 -1
AALB015449 3L 141663016 2725 1 2L 77125823 2809 1 2L 95641516 2557 1 2L 42853735 39 1
AALB006152 3L 168859820 2041 1 2L 95490959 626 1 2L 111728126 717 1 2L 44427449 166 -1
AALB010554 3R 117314638 224 1 3L 181506813 2435 -1 2R 25872276 2385 -1 3R 52981569 1367 1
AALB015480 2L 64008501 1408 -1 2R 57712554 6384 -1 3R 185437124 1404 -1 2R 31444631 1220 1
AALB002936 2R 63268602 3945 -1 2R 58754376 4069 1 3R 187006966 27527 -1 2R 33534170 13 1
AALB006618 X 4417685 6755 1 X 11660159 7922 1 X 1521813 5436 1 X 23477 241 -1
AALB004170 3L 141589306 2898 1 2L 77051918 2933 1 2L 99707926 2480 -1 2L 42781663 204 -1
AALB003722 3R 102036832 3054 1 3L 169853278 3065 -1 3L 222723794 3157 1 3L 77607135 1844 1
AALB000636 2L 78050419 1317 1 2R 21574302 1529 1 3R 179106216 1648 1 2R 19802372 15 -1
AALB001609 2L 97449870 1712 -1 2R 17834379 1709 1 3R 169764167 1715 -1 2R 14353852 1718 1
AALB006928 X 348133 2644 1 X 15725684 4129 1 X 5751978 3557 -1 X 11589605 189 -1
AALB010563 3R 117550990 974 -1 3R 145780991 1768 -1 3L 207356111 845 -1 3L 63431863 1076 -1
AALB007040 3R 127815808 2933 -1 3L 179423160 3532 1 3L 206352682 5261 1 3L 67947369 77 -1
AALB001112 2L 69628067 1361 -1 2R 37202416 1321 -1 3R 151177482 1495 1 2R 17570606 206 1
AALB001381 2L 100623322 6064 -1 2R 16214067 1939 1 2L 130189725 1677 -1 2R 12769323 67 1
AALB007033 3R 127759788 6958 -1 3L 179498098 1248 1 3L 206412735 1106 1 3L 67868001 39 -1
AALB000048 2L 89291223 2437 1 2R 50891596 4895 -1 3R 138415902 2514 -1 2R 25408464 51 -1
AALB000374 2L 82981674 3865 -1 2R 21015719 3614 -1 3R 180229394 1352 -1 2R 20389559 314 1
AALB004724 3L 150314593 9280 1 2L 70932155 12245 1 2L 118397558 10779 1 2L 51834287 149 1
AALB002376 2R 27286280 17713 -1 3R 153521694 12158 -1 2R 53891240 38126 -1 3R 58032967 24 1
AALB004701 3L 149973992 3347 1 2L 68366870 1598 1 2L 107498900 3106 -1 2L 34620637 48 1
AALB006133 3L 168555474 1884 -1 2L 95002966 7069 -1 2L 113460107 4357 -1 2L 44854379 174 1
AALB000050 2L 89254906 10967 -1 X 15654657 10865 1 X 290994 8276 1 X 10373442 29 -1
AALB001379 2L 100633021 2717 -1 2R 16207241 2848 1 3R 137587687 2616 -1 2R 12768723 64 -1
AALB005291 3L 158565982 1222 1 2L 82550353 1193 1 2L 124368778 1190 1 2L 50578732 77 1
AALB006506 X 5731141 1588 -1 X 4331493 1510 1 X 4332624 1310 1 X 7998698 105 -1
AALB010314 3R 113826055 2152 -1 3L 168033119 4433 -1 3L 219379849 5687 -1 3L 64911111 288 1
AALB007674 X 9057639 4711 -1 X 12395417 12356 -1 2L 91173995 3123 -1 X 11323667 206 -1
AALB010193 3R 111832252 2047 1 3L 182719411 4000 -1 3L 227359408 377 -1 3L 69880046 42 1
AALB002994 2R 46988425 4262 1 3R 159011510 4255 -1 2R 81603956 3612 -1 3R 62034675 219 1
AALB003759 3R 102386538 962 1 3L 169418094 1379 -1 3L 223348253 1402 1 3L 78035708 31 1
AALB004038 3R 123269177 10664 1 3L 175215297 9326 -1 3L 205526769 7985 -1 3L 75273982 72 1
AALB007657 X 8936858 2595 -1 X 6904159 29743 -1 X 14355393 5750 1 X 672390 63 1
AALB000094 2L 88328598 1255 -1 2R 28878309 2182 1 3R 177149910 1127 -1 2R 23595846 281 1
AALB014654 3L 136968621 3956 1 2L 84013261 4350 1 2L 94376728 3467 -1 2L 45260129 2501 -1
AALB008176 2R 43221056 1584 1 3R 153833827 2069 1 2R 38277651 1959 -1 X 2013 119 -1
AALB007140 2R 30366949 1420 1 3R 154034643 2091 -1 2R 38090287 1731 1 3R 57597059 190 1
AALB004019 3R 123620446 9392 1 3L 189704461 1134 1 3L 209698236 28368 1 3L 67663621 130 -1
AALB002083 2R 34999032 1253 1 3R 150224161 1965 1 2R 75279657 1372 1 3R 60994335 41 -1
AALB009209 2R 16109014 473 -1 3R 105210883 1287 -1 2R 26443535 878 -1 3R 54828263 116 1
AALB003325 X 10399048 4405 -1 X 7343084 10338 -1 X 18244403 6864 -1 X 1206386 188 -1
AALB006490 X 5926091 2377 -1 X 14663116 1208 1 X 13765206 1757 1 X 12591155 39 -1
AALB002374 2R 27334068 3814 -1 3R 153566304 3007 -1 2R 53932180 3300 -1 3R 57992720 266 1
AALB006454 X 6239963 3983 -1 X 7793366 3704 -1 X 9483283 4732 -1 X 591499 58 -1
AALB001637 2L 96794582 978 1 X 2404125 860 1 3R 168834232 1327 1 2R 14964942 148 -1
AALB000202 2L 85799841 4482 1 2R 46534552 7361 1 3R 182119004 876 1 2R 29324295 1992 1
AALB010338 3R 114102594 923 -1 3L 168327373 1102 -1 3L 212590034 1155 1 3L 65296731 61 1
AALB009207 2R 16121731 10201 1 3R 105225716 13290 1 2R 26461020 844 1 3R 54843795 337 1
AALB005741 3L 163700678 1951 1 2L 68333274 26636 -1 2L 107537721 1686 1 2L 34575631 1559 -1
AALB007345 3L 137913933 7436 1 2L 89124504 669 1 2L 93441441 6005 -1 2L 38308185 836 -1
AALB004708 3L 150156913 1685 1 2L 77398247 1655 -1 2L 109346724 1742 1 2L 43139201 1547 -1
AALB006560 X 4929513 9154 -1 X 5022438 11574 1 X 16803740 8585 -1 X 7234477 356 -1
AALB005311 3L 158841347 1246 -1 2L 82876698 3648 -1 2L 124704399 4587 -1 2L 50877852 166 -1
AALB007699 X 9372739 2390 -1 X 601086 3599 1 X 4601136 3536 -1 X 4678442 65 1
AALB004997 3L 154579582 1715 1 2L 90905109 2493 1 2L 127798481 1557 -1 2L 39858395 191 -1
AALB003254 3L 139375145 2895 -1 2L 63425051 5335 -1 2L 114443692 2763 -1 2L 46772848 164 -1
AALB003726 3R 102046880 5330 -1 3L 169840536 1179 1 3L 222745043 1107 -1 3L 77622093 146 -1
AALB010582 3R 117803168 5270 -1 3L 162072807 5819 -1 3L 207580819 3835 -1 3L 63669704 318 -1
AALB010208 3R 112111787 5798 -1 3L 176431463 2687 -1 3L 193932029 3012 -1 3L 68589519 84 1
AALB004169 3L 141585097 2351 -1 2L 77041105 8583 -1 2L 99714434 2773 1 2L 42771923 2084 -1
AALB000803 2L 75248929 1934 1 2R 28136903 8624 1 3R 178208111 22570 -1 2R 22739930 150 1
AALB001106 2L 69713707 8751 -1 2R 37180784 4325 1 3R 151206745 7144 -1 2R 17591863 93 -1
AALB005173 3L 156856320 2917 -1 2L 73318309 1137 1 2L 132897791 3193 -1 2L 49033611 159 1
AALB010668 3R 119382498 4990 -1 3L 170972770 9181 1 3L 220953926 7723 -1 3L 76252438 70 1
AALB009328 2R 14868496 7527 1 3R 103766946 2710 -1 2R 26291448 1029 1 3R 53306904 275 1
AALB005120 3L 156359766 1798 1 2L 73859086 3951 -1 2L 132323416 1831 1 2L 49532939 4093 1
AALB005240 3L 157776064 1787 1 2L 75196970 2303 -1 2L 119694836 1795 1 2L 51239353 206 -1
AALB008562 2R 60520447 6593 1 3R 145671176 2953 1 2R 77199975 4498 1 3R 59479230 435 -1
AALB006626 X 4280153 6403 -1 X 11649004 6416 1 X 4570338 15886 -1 X 36007 845 -1
AALB003742 3R 102191009 1315 -1 3L 169675874 1462 1 3L 222995397 1366 -1 3L 77788812 275 -1
AALB002975 2R 46796943 1954 -1 3R 159224424 5910 1 2R 81812445 8405 1 3R 61791714 128 -1
AALB000737 2L 76504561 2256 1 2R 30878443 5006 -1 3R 172178455 4620 -1 2R 32800109 165 1
AALB004225 3L 142212696 4551 -1 2L 62794744 5133 1 2L 102975030 2129 -1 2L 46184298 1513 1
AALB005068 3L 155898138 1074 1 2L 83097281 7952 1 2L 119910849 16756 -1 2L 51078868 200 1
AALB003285 X 10005646 1086 -1 X 725304 2869 -1 X 15282061 1326 -1 X 4850775 11 -1
AALB004944 3L 154074847 254 -1 2L 84077941 254 1 2L 129269745 591 -1 2L 45193018 254 -1
AALB010410 3R 115242951 503 1 3L 185670412 10641 -1 3L 195207456 733 1 3L 79780418 17 1
AALB000213 2L 85673706 12829 -1 2R 37297652 3449 1 3R 151043069 6528 -1 2R 17472740 255 -1
AALB001007 2L 71999092 811 -1 2R 26426479 671 1 3R 145280508 722 1 2R 25843232 64 1
AALB007700 X 9375829 2731 1 X 1465925 2683 -1 X 19938332 3070 -1 X 10918978 1309 -1
AALB007734 X 9744070 8683 1 X 1615140 7454 1 X 11240599 12185 1 X 11104518 161 1
AALB006530 X 5484319 740 1 X 4609027 1142 -1 X 10719350 790 -1 X 7759427 101 1
AALB006819 X 1699822 4829 -1 X 10909374 5240 1 X 3084792 6159 1 X 6518254 4889 -1
AALB001200 2L 68016971 2116 1 2R 45728741 2401 1 3R 159378243 2258 1 2R 28528254 1139 1
AALB015454 2L 99924398 1198 -1 2R 35041294 2350 1 3R 163611402 812 -1 2R 19435959 155 -1
AALB010478 3R 116192135 2143 -1 3L 174783823 4361 1 3L 205139472 2549 1 3L 72407083 153 -1
AALB007116 3R 128815540 662 -1 3L 164245363 668 -1 2L 129129648 4607 1 3L 70597281 659 -1
AALB010674 3R 119437993 1724 -1 3L 170925006 3351 1 3L 221034382 1766 -1 3L 76199155 1784 1
AALB008512 3R 125238922 4570 1 3L 164342232 16272 1 3L 213170158 15045 -1 3L 70723502 34 1
AALB006737 X 2852042 5536 -1 X 14646130 5469 1 X 13740179 8244 1 X 12613642 3215 -1
AALB000373 2L 82985870 9248 -1 2R 21019676 10693 -1 3R 180235271 5324 -1 2R 20378881 1019 1
AALB003895 3R 130400999 2569 -1 3L 197516155 3350 -1 3L 190781512 3207 -1 3L 63037189 463 1
AALB015746 2L 96504476 2919 1 2R 18734617 2993 -1 3R 168494543 3335 1 2R 15242945 49 -1
AALB003735 3R 102158700 3770 1 3L 169708295 6861 -1 3L 222929354 6333 1 3L 77750430 50 1
AALB010801 3R 121631957 878 1 3L 188506177 947 1 3L 228822150 1019 -1 3L 81253536 905 -1
AALB010092 3R 109556393 13691 1 3L 180950086 13039 -1 3L 228087796 15324 1 3L 80334904 114 1
AALB001885 2L 92283002 2121 -1 2R 54263148 1127 -1 3R 157813723 1310 1 2R 21340243 847 -1
AALB003721 3R 102034147 1250 -1 3L 169857136 2486 1 3L 222720921 1739 -1 3L 77605120 72 -1
AALB004061 3R 123104108 1688 -1 3L 175402572 1715 1 3L 225952601 1673 -1 3L 75089180 1724 -1
AALB009033 2R 18739467 5883 -1 3R 138449412 7904 -1 3L 205540607 934 1 3R 58357761 109 1
AALB001622 2L 97215081 3660 -1 2R 18063705 3756 1 3R 169432097 978 -1 2R 14578562 21 1
AALB001394 2L 100543936 2728 1 2R 16290621 4140 -1 3R 138234187 2697 1 2R 12841128 376 -1
AALB006591 X 4581772 1992 1 X 7373523 3800 -1 X 11229218 2185 -1 X 1230414 458 -1
AALB006288 X 8431799 6362 -1 X 7747279 4904 1 X 3012698 9086 1 X 556524 13 -1
AALB004025 3R 123554084 672 1 3L 194603960 443 1 3L 209625693 546 1 3L 67744559 386 -1
AALB006173 3L 169115195 3896 -1 2L 95828036 5515 -1 2L 123546425 6294 1 2L 44074387 143 1
AALB014369 3R 102074858 4154 -1 3L 169810156 2898 1 3L 222801729 2489 1 3L 77653209 862 -1
AALB004789 3L 151320907 766 -1 2L 76902672 3512 -1 2L 96247963 1990 1 2L 42631846 15 -1
AALB001730 2L 94362135 13941 1 2R 37845188 2210 -1 3R 160467318 1800 1 2R 16945271 1437 1
AALB001426 2L 100088915 1097 1 2R 16672826 1401 1 3R 137548420 1108 -1 2R 13216197 572 1
AALB009401 2R 13755822 688 1 3R 104872616 935 -1 2R 25043436 862 1 3R 54510122 60 -1
AALB007298 3L 136912833 1325 -1 2L 89317916 1519 -1 2L 93261919 1498 1 2L 38116675 368 1
AALB001756 2L 94114944 6638 -1 2R 20223983 30296 -1 3R 145797794 6386 1 2R 16662452 495 -1
AALB001914 2L 91675122 3340 -1 2R 31434018 3399 -1 3R 139829815 2103 -1 2R 32127482 2090 1
AALB005877 3L 165376914 1892 -1 3L 184507808 1790 1 2R 62929720 2141 1 X 6526513 855 1
AALB003102 2R 49288322 2525 1 3R 118570421 2379 1 2R 47561264 2433 -1 3R 60431415 360 1
AALB001920 2L 91664577 1189 1 2R 31422973 1206 1 3R 139811359 7704 1 2R 32141551 164 -1
AALB009355 2R 14550108 3052 -1 3R 104094748 2111 1 2R 25891848 2017 -1 3R 52995161 104 -1
AALB001741 2L 94304143 550 1 2R 37927542 1188 -1 3R 145586818 500 1 2R 16855234 179 1
AALB010796 3R 121596899 3105 1 3L 188467230 13962 1 3L 228854901 2501 -1 3L 81290146 53 -1
AALB002720 2R 22183763 4885 1 3R 108329043 2133 -1 2R 36998741 2140 -1 3R 56559394 1493 -1
AALB015811 3L 160397455 3308 -1 2L 73115814 5524 1 2L 133104161 2342 -1 2L 48844886 358 1
AALB003770 3R 102511698 5270 -1 3L 169247976 5616 1 3L 223583873 708 -1 3L 78199305 750 -1
AALB006387 X 7319980 6172 -1 X 1813146 3837 -1 X 12767186 1952 1 X 3524392 1859 -1
AALB000905 2L 74029881 1746 1 2R 47222396 1954 1 3R 149068737 1749 -1 2R 30041027 238 1
AALB009342 2R 14633819 1721 -1 3R 103996020 1925 1 2R 26002079 1796 -1 3R 53085169 68 -1
AALB002576 2R 24325346 3671 -1 3R 127513483 3540 1 2R 60725357 3533 1 3R 59666736 629 -1
AALB003099 2R 48969330 2828 -1 3R 118214016 15780 -1 2R 47823817 87180 1 3R 60090310 62 -1
AALB000722 2L 76620800 946 1 2R 49034743 1933 -1 3R 146358577 1602 1 2R 32942624 58 1
AALB000736 2L 76508620 998 -1 2R 30875813 998 1 3R 172173790 998 1 2R 32806841 998 -1
AALB009210 2R 16106810 1508 1 3R 105209225 1972 1 2R 26441571 1664 1 3R 54828263 116 1
AALB003609 2R 51768558 2067 1 X 11620090 2374 -1 X 1423897 2612 -1 3L 78745640 1991 1
AALB005155 3L 156651843 5636 -1 2L 73561064 6194 1 2L 132656377 5773 -1 2L 49254973 211 1
AALB001654 2L 96511525 4598 1 2R 18724803 7680 -1 3R 168505304 1382 1 2R 15232064 62 -1
AALB004735 3L 150558491 15047 1 2L 102045737 15071 -1 2L 90524064 14488 1 2L 41137232 119 -1
AALB001016 2L 71870970 829 1 2R 26588578 1056 -1 3R 145382267 1035 -1 2R 25978392 92 -1
AALB010855 3R 122657853 1816 1 3L 180813956 2043 1 3L 221455399 1847 1 3L 80464281 680 -1
AALB002077 2R 35128596 32426 1 3R 150400698 4005 1 2R 75465931 3517 1 3R 60807834 134 1
AALB009434 2R 13531050 4943 1 3R 105134981 5546 -1 2R 26355601 4951 -1 3R 54756386 125 -1
AALB010738 3R 120345383 1373 1 3L 174173334 3173 1 3L 196084054 1070 -1 3L 72994102 1316 -1
AALB004120 3L 140859051 5974 1 2L 64830092 1020 1 2L 103887822 955 -1 2L 48217578 563 1
AALB001189 2L 68200066 13189 -1 2R 45919686 5204 -1 3R 153687321 990 1 2R 28732551 1346 -1
AALB003521 2R 53136690 1598 1 X 863052 1974 -1 X 6869814 3171 1 X 12151334 1429 1
AALB002278 2R 31502760 5728 1 3R 114642456 7160 1 2R 51298457 4091 -1 3R 59303135 74 1
AALB010749 3R 120677256 8681 -1 3L 174553305 22723 -1 3L 204912408 22044 -1 3L 72657173 79 1
AALB010088 3R 109509292 7020 -1 3L 181055645 10884 1 3L 228042725 7465 -1 3L 80281311 73 -1
AALB005116 3L 156350385 3701 -1 2L 73866314 4396 1 2L 132310868 35051 -1 2L 49532939 4093 1
AALB005230 3L 157633414 7942 -1 2L 75371228 3404 1 2L 119506381 1425 -1 2L 51389551 111 1
AALB007142 2R 30107225 6224 -1 3R 154327014 5812 1 2R 37805079 5825 -1 3R 57383099 860 -1
AALB006878 X 1039633 8059 -1 X 10748880 8897 -1 X 3190903 9880 1 X 6682237 219 1
AALB010669 3R 119392646 5956 1 3L 170967654 3496 -1 3L 220978970 6522 1 3L 76247090 27 -1
AALB006664 X 3681608 10041 -1 X 10474362 5743 1 X 16526579 8468 1 X 1472295 75 -1
AALB003768 3R 102488984 1689 -1 3L 169289723 1774 1 3L 223540279 3295 -1 3L 78167038 395 -1
AALB009389 2R 14138878 607 -1 3R 104478419 8956 1 2R 25461788 648 -1 3R 54126285 78 -1
AALB006032 3L 167394553 1450 1 2L 81609150 684 -1 2L 101046967 672 -1 2L 34370318 117 -1
AALB014017 2L 86003976 1555 1 2R 17590541 4760 -1 3R 170089143 1701 1 2R 14122463 1190 1
AALB015850 2R 21526305 1919 -1 3R 107569610 2459 -1 2R 36168161 2701 -1 3R 55826771 114 -1
AALB000198 2L 85929517 953 -1 2R 46693096 1133 -1 3R 182273036 752 -1 2R 29483102 21 -1
