"aalbimanus_eg_gene";"aatroparvus_eg_gene";"agambiae_eg_gene";"asinensis_eg_gene"
"AALB004658";"AATE002322";"AGAP006399";"ASIS008461"
"AALB003045";"AATE012125";"AGAP002068";"ASIS017804"
"AALB003045";"AATE012125";"AGAP002068";"ASIS015709"
"AALB003313";"AATE021173";"AGAP001028";"ASIS014866"
"AALB003313";"AATE021173";"AGAP001028";"ASIS006935"
"AALB003313";"AATE021173";"AGAP001028";"ASIS008313"
"AALB003313";"AATE010140";"AGAP001028";"ASIS014866"
"AALB003313";"AATE010140";"AGAP001028";"ASIS006935"
"AALB003313";"AATE010140";"AGAP001028";"ASIS008313"
"AALB006366";"AATE012633";"AGAP000864";"ASIS009449"
"AALB004791";"AATE000758";"AGAP005146";"ASIS003394"
"AALB004791";"AATE000758";"AGAP005146";"ASIS018027"
"AALB004791";"AATE000758";"AGAP005146";"ASIS020171"
"AALB004791";"AATE001112";"AGAP005146";"ASIS003394"
"AALB004791";"AATE001112";"AGAP005146";"ASIS018027"
"AALB004791";"AATE001112";"AGAP005146";"ASIS020171"
"AALB004791";"AATE007313";"AGAP005146";"ASIS003394"
"AALB004791";"AATE007313";"AGAP005146";"ASIS018027"
"AALB004791";"AATE007313";"AGAP005146";"ASIS020171"
"AALB002943";"AATE016225";"AGAP002434";"ASIS017922"
"AALB005484";"AATE018272";"AGAP007308";"ASIS008962"
"AALB008101";"AATE008711";"AGAP002047";"ASIS009408"
"AALB007103";"AATE006915";"AGAP011728";"ASIS001772"
"AALB007103";"AATE006915";"AGAP028535";"ASIS001772"
"AALB009015";"AATE003950";"AGAP004292";"ASIS010572"
"AALB002110";"AATE011055";"AGAP002328";"ASIS008822"
"AALB001053";"AATE013943";"AGAP009945";"ASIS012738"
"AALB007139";"AATE007865";"AGAP002009";"ASIS008928"
"AALB007139";"AATE007865";"AGAP002009";"ASIS001223"
"AALB007139";"AATE004023";"AGAP002009";"ASIS008928"
"AALB007139";"AATE004023";"AGAP002009";"ASIS001223"
"AALB007064";"AATE015208";"AGAP011146";"ASIS014972"
"AALB007064";"AATE015208";"AGAP011148";"ASIS014972"
"AALB005159";"AATE007732";"AGAP007510";"ASIS016836"
"AALB007079";"AATE012708";"AGAP012194";"ASIS008375"
"AALB009798";"AATE013377";"AGAP011694";"ASIS001511"
"AALB007561";"AATE000839";"AGAP007125";"ASIS009005"
"AALB007561";"AATE000839";"AGAP007125";"ASIS000966"
"AALB004672";"AATE010732";"AGAP006233";"ASIS003870"
"AALB005820";"AATE016793";"AGAP005545";"ASIS017065"
"AALB015875";"AATE007749";"AGAP001509";"ASIS016417"
"AALB010693";"AATE000963";"AGAP010792";"ASIS012220"
"AALB006191";"AATE020128";"AGAP006739";"ASIS021482"
"AALB006863";"AATE006043";"AGAP000298";"ASIS022881"
"AALB006863";"AATE006043";"AGAP000298";"ASIS009674"
"AALB006863";"AATE009324";"AGAP000298";"ASIS022881"
"AALB006863";"AATE009324";"AGAP000298";"ASIS009674"
"AALB007226";"AATE001435";"AGAP013231";"ASIS023497"
"AALB007226";"AATE001435";"AGAP012662";"ASIS023497"
"AALB002670";"AATE018775";"AGAP001960";"ASIS023427"
"AALB003279";"AATE005695";"AGAP006282";"ASIS018573"
"AALB002925";"AATE008072";"AGAP012485";"ASIS003736"
"AALB006795";"AATE017108";"AGAP000770";"ASIS002675"
"AALB000680";"AATE004573";"AGAP008334";"ASIS003056"
"AALB010595";"AATE015646";"AGAP011052";"ASIS011597"
"AALB004340";"AATE008600";"AGAP005240";"ASIS009405"
"AALB006839";"AATE002274";"AGAP000718";"ASIS010518"
"AALB010561";"AATE001147";"AGAP011196";"ASIS017611"
"AALB001425";"AATE015612";"AGAP007888";"ASIS006851"
"AALB000375";"AATE016423";"AGAP009913";"ASIS009435"
"AALB006850";"AATE013357";"AGAP000801";"ASIS015288"
"AALB006850";"AATE013357";"AGAP000801";"ASIS017194"
"AALB006850";"AATE008487";"AGAP000801";"ASIS015288"
"AALB006850";"AATE008487";"AGAP000801";"ASIS017194"
"AALB007974";"AATE012304";"AGAP010050";"ASIS015698"
"AALB002920";"AATE001131";"AGAP010303";"ASIS018608"
"AALB000445";"AATE010409";"AGAP009832";"ASIS022830"
"AALB010849";"AATE018818";"AGAP010824";"ASIS006013"
"AALB010008";"AATE010992";"AGAP011329";"ASIS006990"
"AALB001759";"AATE001541";"AGAP009310";"ASIS010755"
"AALB006111";"AATE013157";"AGAP005758";"ASIS012523"
"AALB002829";"AATE004960";"AGAP013293";"ASIS018870"
"AALB005585";"AATE014023";"AGAP006626";"ASIS001054"
"AALB007843";"AATE000210";"AGAP010198";"ASIS006024"
"AALB009788";"AATE013610";"AGAP011703";"ASIS005049"
"AALB009788";"AATE013610";"AGAP011703";"ASIS023203"
"AALB008672";"AATE008271";"AGAP002677";"ASIS009165"
"AALB006361";"AATE007676";"AGAP000792";"ASIS022773"
"AALB006022";"AATE009575";"AGAP006092";"ASIS016243"
"AALB008901";"AATE006712";"AGAP002816";"ASIS004002"
"AALB005135";"AATE004626";"AGAP007479";"ASIS011520"
"AALB004012";"AATE018609";"AGAP011356";"ASIS001865"
"AALB001675";"AATE005416";"AGAP009136";"ASIS010969"
"AALB005101";"AATE013695";"AGAP005498";"ASIS001112"
"AALB005237";"AATE016774";"AGAP006535";"ASIS008165"
"AALB006464";"AATE016017";"AGAP013276";"ASIS008334"
"AALB001353";"AATE007756";"AGAP007865";"ASIS006419"
"AALB003491";"AATE014947";"AGAP004419";"ASIS002305"
"AALB003493";"AATE019931";"AGAP004423";"ASIS021639"
"AALB000594";"AATE011407";"AGAP008484";"ASIS019555"
"AALB002284";"AATE001210";"AGAP002783";"ASIS013566"
"AALB003214";"AATE018451";"AGAP005202";"ASIS009823"
"AALB006159";"AATE009314";"AGAP006083";"ASIS017943"
"AALB006159";"AATE009314";"AGAP006083";"ASIS009223"
"AALB001734";"AATE016292";"AGAP008413";"ASIS013661"
"AALB001734";"AATE016292";"AGAP008413";"ASIS017186"
"AALB005963";"AATE005542";"AGAP005515";"ASIS011040"
"AALB000277";"AATE020556";"AGAP008321";"ASIS015254"
"AALB000277";"AATE020556";"AGAP008321";"ASIS022885"
"AALB006696";"AATE017983";"AGAP000393";"ASIS018555"
"AALB008359";"AATE002083";"AGAP004603";"ASIS003153"
"AALB002837";"AATE020156";"AGAP003439";"ASIS006163"
"AALB015674";"AATE003053";"AGAP006247";"ASIS014082"
"AALB003667";"AATE000124";"AGAP004213";"ASIS013431"
"AALB008422";"AATE015242";"AGAP004271";"ASIS019298"
"AALB008422";"AATE015242";"AGAP012883";"ASIS019298"
"AALB000551";"AATE010175";"AGAP009010";"ASIS016287"
"AALB004425";"AATE011940";"AGAP006061";"ASIS003325"
"AALB004828";"AATE001455";"AGAP006643";"ASIS009466"
"AALB008092";"AATE005435";"AGAP004265";"ASIS008254"
"AALB002321";"AATE014418";"AGAP002829";"ASIS004935"
"AALB003428";"AATE001309";"AGAP003128";"ASIS008541"
"AALB003428";"AATE001309";"AGAP003128";"ASIS018001"
"AALB003033";"AATE019542";"AGAP003743";"ASIS014808"
"AALB006450";"AATE018347";"AGAP000014";"ASIS016784"
"AALB003488";"AATE006474";"AGAP004416";"ASIS017781"
"AALB008426";"AATE007768";"AGAP004274";"ASIS004122"
"AALB009516";"AATE013536";"AGAP003250";"ASIS001051"
"AALB009516";"AATE013536";"AGAP003250";"ASIS022865"
"AALB009516";"AATE013536";"AGAP003250";"ASIS022496"
"AALB009516";"AATE013536";"AGAP003250";"ASIS007087"
"AALB009516";"AATE013536";"AGAP003250";"ASIS012177"
"AALB009516";"AATE013536";"AGAP003250";"ASIS022525"
"AALB009885";"AATE006537";"AGAP010643";"ASIS000669"
"AALB006802";"AATE010789";"AGAP000410";"ASIS000276"
"AALB003755";"AATE020165";"AGAP011927";"ASIS006984"
"AALB007395";"AATE007510";"AGAP011316";"ASIS018087"
"AALB002845";"AATE017394";"AGAP003430";"ASIS005721"
"AALB002511";"AATE011484";"AGAP003787";"ASIS007858"
"AALB002511";"AATE011484";"AGAP012882";"ASIS007858"
"AALB006312";"AATE000795";"AGAP000968";"ASIS013384"
"AALB004121";"AATE009569";"AGAP005644";"ASIS000201"
"AALB006658";"AATE011801";"AGAP000825";"ASIS009890"
"AALB001645";"AATE017053";"AGAP009447";"ASIS019631"
"AALB008131";"AATE008209";"AGAP002135";"ASIS018283"
"AALB014118";"AATE005009";"AGAP028508";"ASIS010350"
"AALB014118";"AATE005009";"AGAP028685";"ASIS010350"
"AALB014118";"AATE005009";"AGAP028690";"ASIS010350"
"AALB014118";"AATE005009";"AGAP005475";"ASIS010350"
"AALB014118";"AATE005009";"AGAP005307";"ASIS010350"
"AALB014118";"AATE005009";"AGAP012588";"ASIS010350"
"AALB014118";"AATE005009";"AGAP012450";"ASIS010350"
"AALB014118";"AATE005009";"AGAP005474";"ASIS010350"
"AALB014118";"AATE005009";"AGAP028506";"ASIS010350"
"AALB014118";"AATE005009";"AGAP005106";"ASIS010350"
"AALB014118";"AATE005009";"AGAP012715";"ASIS010350"
"AALB014118";"AATE005009";"AGAP028687";"ASIS010350"
"AALB014118";"AATE005009";"AGAP028689";"ASIS010350"
"AALB014118";"AATE005009";"AGAP028509";"ASIS010350"
"AALB014118";"AATE005009";"AGAP005478";"ASIS010350"
"AALB014118";"AATE005009";"AGAP011072";"ASIS010350"
"AALB014118";"AATE005009";"AGAP028688";"ASIS010350"
"AALB014118";"AATE005009";"AGAP006696";"ASIS010350"
"AALB014118";"AATE005009";"AGAP011074";"ASIS010350"
"AALB014118";"AATE005009";"AGAP028444";"ASIS010350"
"AALB014118";"AATE005009";"AGAP012552";"ASIS010350"
"AALB014118";"AATE005009";"AGAP005477";"ASIS010350"
"AALB014118";"AATE005009";"AGAP001067";"ASIS010350"
"AALB014118";"AATE005009";"AGAP011073";"ASIS010350"
"AALB014118";"AATE005009";"AGAP028686";"ASIS010350"
"AALB014118";"AATE005009";"AGAP005476";"ASIS010350"
"AALB014118";"AATE005009";"AGAP011071";"ASIS010350"
"AALB014118";"AATE005009";"AGAP028508";"ASIS022102"
"AALB014118";"AATE005009";"AGAP028685";"ASIS022102"
"AALB014118";"AATE005009";"AGAP028690";"ASIS022102"
"AALB014118";"AATE005009";"AGAP005475";"ASIS022102"
"AALB014118";"AATE005009";"AGAP005307";"ASIS022102"
"AALB014118";"AATE005009";"AGAP012588";"ASIS022102"
"AALB014118";"AATE005009";"AGAP012450";"ASIS022102"
"AALB014118";"AATE005009";"AGAP005474";"ASIS022102"
"AALB014118";"AATE005009";"AGAP028506";"ASIS022102"
"AALB014118";"AATE005009";"AGAP005106";"ASIS022102"
"AALB014118";"AATE005009";"AGAP012715";"ASIS022102"
"AALB014118";"AATE005009";"AGAP028687";"ASIS022102"
"AALB014118";"AATE005009";"AGAP028689";"ASIS022102"
"AALB014118";"AATE005009";"AGAP028509";"ASIS022102"
"AALB014118";"AATE005009";"AGAP005478";"ASIS022102"
"AALB014118";"AATE005009";"AGAP011072";"ASIS022102"
"AALB014118";"AATE005009";"AGAP028688";"ASIS022102"
"AALB014118";"AATE005009";"AGAP006696";"ASIS022102"
"AALB014118";"AATE005009";"AGAP011074";"ASIS022102"
"AALB014118";"AATE005009";"AGAP028444";"ASIS022102"
"AALB014118";"AATE005009";"AGAP012552";"ASIS022102"
"AALB014118";"AATE005009";"AGAP005477";"ASIS022102"
"AALB014118";"AATE005009";"AGAP001067";"ASIS022102"
"AALB014118";"AATE005009";"AGAP011073";"ASIS022102"
"AALB014118";"AATE005009";"AGAP028686";"ASIS022102"
"AALB014118";"AATE005009";"AGAP005476";"ASIS022102"
"AALB014118";"AATE005009";"AGAP011071";"ASIS022102"
"AALB014118";"AATE004225";"AGAP028508";"ASIS010350"
"AALB014118";"AATE004225";"AGAP028685";"ASIS010350"
"AALB014118";"AATE004225";"AGAP028690";"ASIS010350"
"AALB014118";"AATE004225";"AGAP005475";"ASIS010350"
"AALB014118";"AATE004225";"AGAP005307";"ASIS010350"
"AALB014118";"AATE004225";"AGAP012588";"ASIS010350"
"AALB014118";"AATE004225";"AGAP012450";"ASIS010350"
"AALB014118";"AATE004225";"AGAP005474";"ASIS010350"
"AALB014118";"AATE004225";"AGAP028506";"ASIS010350"
"AALB014118";"AATE004225";"AGAP005106";"ASIS010350"
"AALB014118";"AATE004225";"AGAP012715";"ASIS010350"
"AALB014118";"AATE004225";"AGAP028687";"ASIS010350"
"AALB014118";"AATE004225";"AGAP028689";"ASIS010350"
"AALB014118";"AATE004225";"AGAP028509";"ASIS010350"
"AALB014118";"AATE004225";"AGAP005478";"ASIS010350"
"AALB014118";"AATE004225";"AGAP011072";"ASIS010350"
"AALB014118";"AATE004225";"AGAP028688";"ASIS010350"
"AALB014118";"AATE004225";"AGAP006696";"ASIS010350"
"AALB014118";"AATE004225";"AGAP011074";"ASIS010350"
"AALB014118";"AATE004225";"AGAP028444";"ASIS010350"
"AALB014118";"AATE004225";"AGAP012552";"ASIS010350"
"AALB014118";"AATE004225";"AGAP005477";"ASIS010350"
"AALB014118";"AATE004225";"AGAP001067";"ASIS010350"
"AALB014118";"AATE004225";"AGAP011073";"ASIS010350"
"AALB014118";"AATE004225";"AGAP028686";"ASIS010350"
"AALB014118";"AATE004225";"AGAP005476";"ASIS010350"
"AALB014118";"AATE004225";"AGAP011071";"ASIS010350"
"AALB014118";"AATE004225";"AGAP028508";"ASIS022102"
"AALB014118";"AATE004225";"AGAP028685";"ASIS022102"
"AALB014118";"AATE004225";"AGAP028690";"ASIS022102"
"AALB014118";"AATE004225";"AGAP005475";"ASIS022102"
"AALB014118";"AATE004225";"AGAP005307";"ASIS022102"
"AALB014118";"AATE004225";"AGAP012588";"ASIS022102"
"AALB014118";"AATE004225";"AGAP012450";"ASIS022102"
"AALB014118";"AATE004225";"AGAP005474";"ASIS022102"
"AALB014118";"AATE004225";"AGAP028506";"ASIS022102"
"AALB014118";"AATE004225";"AGAP005106";"ASIS022102"
"AALB014118";"AATE004225";"AGAP012715";"ASIS022102"
"AALB014118";"AATE004225";"AGAP028687";"ASIS022102"
"AALB014118";"AATE004225";"AGAP028689";"ASIS022102"
"AALB014118";"AATE004225";"AGAP028509";"ASIS022102"
"AALB014118";"AATE004225";"AGAP005478";"ASIS022102"
"AALB014118";"AATE004225";"AGAP011072";"ASIS022102"
"AALB014118";"AATE004225";"AGAP028688";"ASIS022102"
"AALB014118";"AATE004225";"AGAP006696";"ASIS022102"
"AALB014118";"AATE004225";"AGAP011074";"ASIS022102"
"AALB014118";"AATE004225";"AGAP028444";"ASIS022102"
"AALB014118";"AATE004225";"AGAP012552";"ASIS022102"
"AALB014118";"AATE004225";"AGAP005477";"ASIS022102"
"AALB014118";"AATE004225";"AGAP001067";"ASIS022102"
"AALB014118";"AATE004225";"AGAP011073";"ASIS022102"
"AALB014118";"AATE004225";"AGAP028686";"ASIS022102"
"AALB014118";"AATE004225";"AGAP005476";"ASIS022102"
"AALB014118";"AATE004225";"AGAP011071";"ASIS022102"
"AALB008780";"AATE000648";"AGAP010190";"ASIS022322"
"AALB002982";"AATE012353";"AGAP028407";"ASIS015670"
"AALB000219";"AATE003327";"AGAP008712";"ASIS003620"
"AALB010811";"AATE002027";"AGAP012166";"ASIS012787"
"AALB002504";"AATE008634";"AGAP003781";"ASIS003027"
"AALB007862";"AATE005444";"AGAP010218";"ASIS009834"
"AALB005281";"AATE017048";"AGAP006798";"ASIS000486"
"AALB006577";"AATE010215";"AGAP013275";"ASIS022335"
"AALB002918";"AATE011648";"AGAP010294";"ASIS014941"
"AALB007778";"AATE008651";"AGAP000041";"ASIS012008"
"AALB000892";"AATE013440";"AGAP010010";"ASIS021281"
"AALB000645";"AATE002947";"AGAP009151";"ASIS005888"
"AALB008236";"AATE003789";"AGAP002555";"ASIS009756"
"AALB015865";"AATE009584";"AGAP002528";"ASIS003548"
"AALB003993";"AATE008813";"AGAP010476";"ASIS003049"
"AALB001511";"AATE012719";"AGAP008141";"ASIS010685"
"AALB015532";"AATE001403";"AGAP000737";"ASIS013173"
"AALB006186";"AATE002659";"AGAP006735";"ASIS000771"
"AALB006186";"AATE019874";"AGAP006735";"ASIS000771"
"AALB001648";"AATE017155";"AGAP009443";"ASIS011413"
"AALB006242";"AATE001361";"AGAP007633";"ASIS021292"
"AALB006643";"AATE014626";"AGAP000067";"ASIS012617"
"AALB009941";"AATE003459";"AGAP028030";"ASIS008211"
"AALB006801";"AATE007402";"AGAP001047";"ASIS011948"
"AALB002441";"AATE000913";"AGAP001699";"ASIS022707"
"AALB005595";"AATE007351";"AGAP006615";"ASIS001799"
"AALB007494";"AATE012711";"AGAP004730";"ASIS018016"
"AALB002781";"AATE001522";"AGAP003717";"ASIS020279"
"AALB002781";"AATE001522";"AGAP003716";"ASIS020279"
"AALB002761";"AATE010510";"AGAP013255";"ASIS009305"
"AALB002761";"AATE010510";"AGAP012745";"ASIS009305"
"AALB002761";"AATE010510";"AGAP013188";"ASIS009305"
"AALB002761";"AATE010510";"AGAP013393";"ASIS009305"
"AALB009892";"AATE014372";"AGAP011085";"ASIS013419"
"AALB008448";"AATE019920";"AGAP002427";"ASIS003220"
"AALB001301";"AATE019822";"AGAP008270";"ASIS003850"
"AALB005749";"AATE003246";"AGAP007390";"ASIS007887"
"AALB002846";"AATE000941";"AGAP003429";"ASIS002620"
"AALB002846";"AATE000941";"AGAP012744";"ASIS002620"
"AALB010233";"AATE008744";"AGAP010571";"ASIS010239"
"AALB000437";"AATE007373";"AGAP009400";"ASIS011483"
"AALB000437";"AATE007373";"AGAP009399";"ASIS011483"
"AALB006135";"AATE009634";"AGAP006180";"ASIS003373"
"AALB006617";"AATE014011";"AGAP000091";"ASIS001891"
"AALB002681";"AATE006916";"AGAP001446";"ASIS022256"
"AALB004753";"AATE000686";"AGAP004825";"ASIS021504"
"AALB008323";"AATE002830";"AGAP004614";"ASIS000731"
"AALB009239";"AATE001820";"AGAP001495";"ASIS010778"
"AALB000666";"AATE000506";"AGAP009886";"ASIS020245"
"AALB000666";"AATE008541";"AGAP009886";"ASIS020245"
"AALB002158";"AATE005266";"AGAP004135";"ASIS002962"
"AALB010809";"AATE008471";"AGAP012164";"ASIS017659"
"AALB010809";"AATE008471";"AGAP012164";"ASIS008224"
"AALB006254";"AATE016762";"AGAP007648";"ASIS022594"
"AALB009619";"AATE016884";"AGAP002061";"ASIS016513"
"AALB015641";"AATE016862";"AGAP010562";"ASIS023622"
"AALB007302";"AATE003910";"AGAP005034";"ASIS019894"
"AALB003737";"AATE021059";"AGAP011906";"ASIS006398"
"AALB015815";"AATE019520";"AGAP007545";"ASIS015121"
"AALB002516";"AATE020457";"AGAP003546";"ASIS017986"
"AALB010212";"AATE004507";"AGAP028167";"ASIS000743"
"AALB010212";"AATE004507";"AGAP028007";"ASIS000743"
"AALB010212";"AATE004507";"AGAP012843";"ASIS000743"
"AALB010212";"AATE004507";"AGAP012034";"ASIS000743"
"AALB010212";"AATE004507";"AGAP028167";"ASIS001708"
"AALB010212";"AATE004507";"AGAP028007";"ASIS001708"
"AALB010212";"AATE004507";"AGAP012843";"ASIS001708"
"AALB010212";"AATE004507";"AGAP012034";"ASIS001708"
"AALB010212";"AATE004507";"AGAP028167";"ASIS014864"
"AALB010212";"AATE004507";"AGAP028007";"ASIS014864"
"AALB010212";"AATE004507";"AGAP012843";"ASIS014864"
"AALB010212";"AATE004507";"AGAP012034";"ASIS014864"
"AALB010212";"AATE021101";"AGAP028167";"ASIS000743"
"AALB010212";"AATE021101";"AGAP028007";"ASIS000743"
"AALB010212";"AATE021101";"AGAP012843";"ASIS000743"
"AALB010212";"AATE021101";"AGAP012034";"ASIS000743"
"AALB010212";"AATE021101";"AGAP028167";"ASIS001708"
"AALB010212";"AATE021101";"AGAP028007";"ASIS001708"
"AALB010212";"AATE021101";"AGAP012843";"ASIS001708"
"AALB010212";"AATE021101";"AGAP012034";"ASIS001708"
"AALB010212";"AATE021101";"AGAP028167";"ASIS014864"
"AALB010212";"AATE021101";"AGAP028007";"ASIS014864"
"AALB010212";"AATE021101";"AGAP012843";"ASIS014864"
"AALB010212";"AATE021101";"AGAP012034";"ASIS014864"
"AALB010431";"AATE001638";"AGAP011960";"ASIS004819"
"AALB000916";"AATE003260";"AGAP008660";"ASIS006997"
"AALB009113";"AATE000310";"AGAP003003";"ASIS007606"
"AALB006697";"AATE017697";"AGAP000392";"ASIS000795"
"AALB000970";"AATE013201";"AGAP008626";"ASIS021628"
"AALB003670";"AATE003834";"AGAP002618";"ASIS017677"
"AALB008126";"AATE015206";"AGAP002137";"ASIS013547"
"AALB003486";"AATE008895";"AGAP004411";"ASIS021324"
"AALB004266";"AATE012488";"AGAP005887";"ASIS015333"
"AALB004266";"AATE016651";"AGAP005887";"ASIS015333"
"AALB009827";"AATE019233";"AGAP010735";"ASIS004536"
"AALB003937";"AATE008762";"AGAP003068";"ASIS008949"
"AALB005646";"AATE012738";"AGAP007205";"ASIS014300"
"AALB004689";"AATE001618";"AGAP006661";"ASIS019225"
"AALB003294";"AATE002042";"AGAP012107";"ASIS009404"
"AALB003294";"AATE002042";"AGAP011076";"ASIS009404"
"AALB002823";"AATE006740";"AGAP003462";"ASIS005808"
"AALB008717";"AATE007020";"AGAP003885";"ASIS008513"
"AALB008223";"AATE012756";"AGAP002569";"ASIS006395"
"AALB009327";"AATE015970";"AGAP001251";"ASIS008932"
"AALB000150";"AATE002058";"AGAP009224";"ASIS018337"
"AALB000442";"AATE012662";"AGAP009837";"ASIS006429"
"AALB007696";"AATE001740";"AGAP000137";"ASIS013319"
"AALB015578";"AATE012057";"AGAP009803";"ASIS020075"
"AALB005401";"AATE015292";"AGAP007620";"ASIS020330"
"AALB006116";"AATE004038";"AGAP005753";"ASIS006478"
"AALB004806";"AATE010742";"AGAP013485";"ASIS014158"
"AALB004806";"AATE010742";"AGAP007170";"ASIS014158"
"AALB004806";"AATE010742";"AGAP013299";"ASIS014158"
"AALB004806";"AATE010742";"AGAP007171";"ASIS014158"
"AALB004806";"AATE003004";"AGAP013485";"ASIS014158"
"AALB004806";"AATE003004";"AGAP007170";"ASIS014158"
"AALB004806";"AATE003004";"AGAP013299";"ASIS014158"
"AALB004806";"AATE003004";"AGAP007171";"ASIS014158"
"AALB004806";"AATE009080";"AGAP013485";"ASIS014158"
"AALB004806";"AATE009080";"AGAP007170";"ASIS014158"
"AALB004806";"AATE009080";"AGAP013299";"ASIS014158"
"AALB004806";"AATE009080";"AGAP007171";"ASIS014158"
"AALB009800";"AATE019845";"AGAP011439";"ASIS005149"
"AALB007127";"AATE007556";"AGAP000425";"ASIS017247"
"AALB007127";"AATE011673";"AGAP000425";"ASIS017247"
"AALB007420";"AATE016513";"AGAP008528";"ASIS005228"
"AALB004959";"AATE016668";"AGAP006946";"ASIS022268"
"AALB009430";"AATE018407";"AGAP001140";"ASIS001904"
"AALB000242";"AATE004585";"AGAP007768";"ASIS001635"
"AALB001558";"AATE012596";"AGAP028562";"ASIS012520"
"AALB009447";"AATE008896";"AGAP004190";"ASIS007187"
"AALB010689";"AATE019408";"AGAP010794";"ASIS013866"
"AALB009803";"AATE007765";"AGAP011442";"ASIS003333"
"AALB001595";"AATE004641";"AGAP009994";"ASIS007446"
"AALB003484";"AATE015662";"AGAP004409";"ASIS008862"
"AALB007545";"AATE012693";"AGAP010314";"ASIS011653"
"AALB007090";"AATE019592";"AGAP028536";"ASIS022171"
"AALB002479";"AATE008694";"AGAP002073";"ASIS019520"
"AALB007723";"AATE014205";"AGAP000243";"ASIS007797"
"AALB008794";"AATE014324";"AGAP010288";"ASIS022556"
"AALB010063";"AATE000667";"AGAP011717";"ASIS001322"
"AALB005517";"AATE020301";"AGAP007264";"ASIS018185"
"AALB015676";"AATE003721";"AGAP004379";"ASIS016817"
"AALB005031";"AATE014403";"AGAP007031";"ASIS007690"
"AALB007760";"AATE020486";"AGAP000118";"ASIS010021"
"AALB007760";"AATE020486";"AGAP006572";"ASIS010021"
"AALB001612";"AATE006062";"AGAP009488";"ASIS017221"
"AALB007446";"AATE019973";"AGAP004955";"ASIS019060"
"AALB008783";"AATE015696";"AGAP010193";"ASIS013519"
"AALB014367";"AATE008144";"AGAP012385";"ASIS007293"
"AALB001517";"AATE000027";"AGAP008151";"ASIS021825"
"AALB001468";"AATE009236";"AGAP001045";"ASIS012169"
"AALB010851";"AATE009329";"AGAP010826";"ASIS007489"
"AALB010851";"AATE009329";"AGAP010827";"ASIS007489"
"AALB010851";"AATE009329";"AGAP010828";"ASIS007489"
"AALB010851";"AATE009329";"AGAP010829";"ASIS007489"
"AALB009567";"AATE001601";"AGAP003939";"ASIS015011"
"AALB008542";"AATE006540";"AGAP004254";"ASIS006481"
"AALB009807";"AATE015271";"AGAP011448";"ASIS007366"
"AALB005606";"AATE010498";"AGAP006518";"ASIS003095"
"AALB001535";"AATE020758";"AGAP009928";"ASIS012485"
"AALB001535";"AATE007696";"AGAP009928";"ASIS012485"
"AALB001215";"AATE007804";"AGAP009022";"ASIS022403"
"AALB007784";"AATE000116";"AGAP000733";"ASIS001436"
"AALB009027";"AATE013690";"AGAP003654";"ASIS018840"
"AALB001116";"AATE013101";"AGAP000934";"ASIS002823"
"AALB004308";"AATE003392";"AGAP004849";"ASIS000308"
"AALB007300";"AATE018140";"AGAP004990";"ASIS003553"
"AALB004214";"AATE000515";"AGAP005556";"ASIS020348"
"AALB003986";"AATE017588";"AGAP010470";"ASIS011987"
"AALB008251";"AATE016429";"AGAP003931";"ASIS000249"
"AALB000684";"AATE012905";"AGAP008905";"ASIS005512"
"AALB002243";"AATE019559";"AGAP002143";"ASIS008266"
"AALB006040";"AATE008131";"AGAP005413";"ASIS005052"
"AALB002302";"AATE006952";"AGAP001435";"ASIS005498"
"AALB008510";"AATE009485";"AGAP011475";"ASIS011409"
"AALB015571";"AATE015426";"AGAP009854";"ASIS006038"
"AALB009664";"AATE003889";"AGAP002229";"ASIS012223"
"AALB009664";"AATE003889";"AGAP002229";"ASIS009506"
"AALB010206";"AATE012843";"AGAP010530";"ASIS005159"
"AALB004145";"AATE015306";"AGAP006366";"ASIS019499"
"AALB006398";"AATE009068";"AGAP000222";"ASIS010478"
"AALB006240";"AATE007850";"AGAP007721";"ASIS002713"
"AALB003833";"AATE003375";"AGAP011629";"ASIS016671"
"AALB004106";"AATE000439";"AGAP007135";"ASIS009514"
"AALB010661";"AATE020235";"AGAP011993";"ASIS001173"
"AALB007562";"AATE018771";"AGAP007126";"ASIS008692"
"AALB007562";"AATE018771";"AGAP007126";"ASIS013466"
"AALB007562";"AATE018771";"AGAP007126";"ASIS020086"
"AALB015601";"AATE013600";"AGAP004383";"ASIS017690"
"AALB006088";"AATE006636";"AGAP005055";"ASIS007635"
"AALB010869";"AATE002608";"AGAP003678";"ASIS012795"
"AALB003429";"AATE002958";"AGAP003126";"ASIS015641"
"AALB003429";"AATE002958";"AGAP012812";"ASIS015641"
"AALB010614";"AATE013013";"AGAP012184";"ASIS000843"
"AALB004008";"AATE019606";"AGAP010346";"ASIS011914"
"AALB001480";"AATE007478";"AGAP008363";"ASIS005354"
"AALB001625";"AATE003731";"AGAP009477";"ASIS014855"
"AALB009745";"AATE015564";"AGAP004746";"ASIS006471"
"AALB003519";"AATE008252";"AGAP002645";"ASIS020262"
"AALB015636";"AATE010828";"AGAP011467";"ASIS009922"
"AALB005509";"AATE000672";"AGAP007280";"ASIS000374"
"AALB008659";"AATE017583";"AGAP001624";"ASIS014177"
"AALB005527";"AATE015465";"AGAP007254";"ASIS002850"
"AALB007496";"AATE007090";"AGAP004732";"ASIS008593"
"AALB007496";"AATE007090";"AGAP004732";"ASIS007564"
