"aalbimanus_eg_gene";"aatroparvus_eg_gene";"agambiae_eg_gene"
"AALB004230";"AATE011515";"AGAP005575"
"AALB010589";"AATE019534";"AGAP011229"
"AALB009688";"AATE010058";"AGAP002602"
"AALB006982";"AATE006890";"AGAP010940"
"AALB005557";"AATE013624";"AGAP006988"
"AALB006794";"AATE007781";"AGAP000434"
"AALB007342";"AATE000868";"AGAP005007"
"AALB000456";"AATE012554";"AGAP028597"
"AALB003208";"AATE019944";"AGAP005189"
"AALB005750";"AATE003468";"AGAP007389"
"AALB010821";"AATE003017";"AGAP011766"
"AALB007399";"AATE017775";"AGAP011312"
"AALB007182";"AATE007479";"AGAP002409"
"AALB006178";"AATE015355";"AGAP006745"
"AALB006178";"AATE001237";"AGAP006745"
"AALB006663";"AATE007603";"AGAP000874"
"AALB002487";"AATE000637";"AGAP013239"
"AALB002487";"AATE000637";"AGAP003758"
"AALB002487";"AATE000637";"AGAP013142"
"AALB002487";"AATE000637";"AGAP013194"
"AALB002487";"AATE000637";"AGAP003759"
"AALB002487";"AATE000637";"AGAP012996"
"AALB008157";"AATE004533";"AGAP003901"
"AALB008302";"AATE003499";"AGAP004369"
"AALB007161";"AATE013967";"AGAP003189"
"AALB000104";"AATE011952";"AGAP009736"
"AALB000237";"AATE006357";"AGAP007761"
"AALB006076";"AATE017999";"AGAP005456"
"AALB004467";"AATE006645";"AGAP005801"
"AALB000741";"AATE013843";"AGAP009628"
"AALB005873";"AATE004522";"AGAP006354"
"AALB007105";"AATE017536";"AGAP011727"
"AALB014742";"AATE018216";"AGAP012074"
"AALB014742";"AATE018216";"AGAP012073"
"AALB014742";"AATE018216";"AGAP005308"
"AALB014742";"AATE019349";"AGAP012074"
"AALB014742";"AATE019349";"AGAP012073"
"AALB014742";"AATE019349";"AGAP005308"
"AALB001298";"AATE015922";"AGAP013727"
"AALB004863";"AATE001757";"AGAP004828"
"AALB007303";"AATE006090";"AGAP005035"
"AALB001444";"AATE013983";"AGAP009940"
"AALB004075";"AATE001426";"AGAP004855"
"AALB001196";"AATE012479";"AGAP008828"
"AALB006803";"AATE020572";"AGAP000407"
"AALB008824";"AATE020320";"AGAP001897"
"AALB008447";"AATE004330";"AGAP002428"
"AALB009864";"AATE020420";"AGAP028504"
"AALB001810";"AATE001109";"AGAP008875"
"AALB008878";"AATE000717";"AGAP013178"
"AALB005876";"AATE020672";"AGAP006360"
"AALB001982";"AATE000548";"AGAP007855"
"AALB001798";"AATE019539";"AGAP008867"
"AALB010394";"AATE016604";"AGAP010587"
"AALB003835";"AATE006904";"AGAP011623"
"AALB010173";"AATE005638";"AGAP010622"
"AALB015709";"AATE007919";"AGAP003782"
"AALB001066";"AATE003266";"AGAP009050"
"AALB009004";"AATE015324";"AGAP004209"
"AALB008075";"AATE011241";"AGAP001684"
"AALB004493";"AATE001865";"AGAP007338"
"AALB002131";"AATE012745";"AGAP004495"
"AALB009316";"AATE001151";"AGAP001127"
"AALB002011";"AATE005496";"AGAP008621"
"AALB010129";"AATE009950";"AGAP012051"
"AALB001003";"AATE018022";"AGAP008387"
"AALB006806";"AATE005588";"AGAP000403"
"AALB015494";"AATE021692";"AGAP011070"
"AALB015805";"AATE019710";"AGAP003483"
"AALB014455";"AATE020833";"AGAP005580"
"AALB007442";"AATE019811";"AGAP012120"
"AALB001775";"AATE012916";"AGAP008489"
"AALB007942";"AATE004827";"AGAP010083"
"AALB001790";"AATE018010";"AGAP008862"
"AALB001667";"AATE013312";"AGAP009416"
"AALB001667";"AATE013312";"AGAP009418"
"AALB001667";"AATE013312";"AGAP009417"
"AALB001667";"AATE013312";"AGAP009415"
"AALB001667";"AATE013312";"AGAP009419"
"AALB009522";"AATE001896";"AGAP003238"
"AALB009522";"AATE003287";"AGAP003238"
"AALB000131";"AATE001157";"AGAP009709"
"AALB006927";"AATE011345";"AGAP000326"
"AALB000045";"AATE009834";"AGAP007835"
"AALB003810";"AATE004128";"AGAP012411"
"AALB004749";"AATE014433";"AGAP004891"
"AALB002314";"AATE013324";"AGAP001357"
"AALB003077";"AATE011995";"AGAP001781"
"AALB007292";"AATE006332";"AGAP005076"
"AALB008437";"AATE013597";"AGAP013301"
"AALB000972";"AATE013056";"AGAP008623"
"AALB007115";"AATE013001";"AGAP027991"
"AALB007115";"AATE013001";"AGAP028178"
"AALB007115";"AATE013001";"AGAP028160"
"AALB007115";"AATE013001";"AGAP028156"
"AALB007115";"AATE013001";"AGAP028137"
"AALB003845";"AATE008918";"AGAP011615"
"AALB005280";"AATE012751";"AGAP006797"
"AALB005280";"AATE018146";"AGAP006797"
"AALB009891";"AATE001432";"AGAP028510"
"AALB009891";"AATE002168";"AGAP028510"
"AALB006049";"AATE011334";"AGAP005406"
"AALB000266";"AATE006258";"AGAP013761"
"AALB004518";"AATE001940";"AGAP007349"
"AALB009703";"AATE008644";"AGAP013461"
"AALB009703";"AATE008644";"AGAP028489"
"AALB008490";"AATE014112";"AGAP011713"
"AALB015492";"AATE016802";"AGAP004744"
"AALB002153";"AATE020587";"AGAP004128"
"AALB007171";"AATE015047";"AGAP013486"
"AALB002616";"AATE010721";"AGAP013041"
"AALB000727";"AATE014143";"AGAP009613"
"AALB003152";"AATE010997";"AGAP004458"
"AALB007955";"AATE010171";"AGAP012712"
"AALB007955";"AATE010171";"AGAP010061"
"AALB015597";"AATE021696";"AGAP012948"
"AALB002893";"AATE007301";"AGAP004654"
"AALB015671";"AATE017133";"AGAP013207"
"AALB006810";"AATE010543";"AGAP000840"
"AALB015697";"AATE019373";"AGAP003257"
"AALB006862";"AATE005918";"AGAP000299"
"AALB007423";"AATE015580";"AGAP011290"
"AALB007423";"AATE015580";"AGAP011289"
"AALB007769";"AATE009750";"AGAP011684"
"AALB007769";"AATE009750";"AGAP000725"
"AALB006155";"AATE004420";"AGAP006074"
"AALB008728";"AATE009762";"AGAP003180"
"AALB006104";"AATE015290";"AGAP005765"
"AALB008315";"AATE004546";"AGAP004621"
"AALB003858";"AATE017571";"AGAP011603"
"AALB001304";"AATE007569";"AGAP008276"
"AALB001304";"AATE007569";"AGAP013716"
"AALB001304";"AATE007569";"AGAP028218"
"AALB001304";"AATE007569";"AGAP008277"
"AALB007459";"AATE007628";"AGAP004698"
"AALB002940";"AATE020830";"AGAP010282"
"AALB004534";"AATE016159";"AGAP013291"
"AALB005071";"AATE003005";"AGAP005737"
"AALB003348";"AATE009192";"AGAP004046"
"AALB015683";"AATE001370";"AGAP004382"
"AALB015683";"AATE001370";"AGAP004381"
"AALB007073";"AATE004463";"AGAP012710"
"AALB007073";"AATE004463";"AGAP012201"
"AALB007073";"AATE004463";"AGAP012202"
"AALB007073";"AATE004463";"AGAP012199"
"AALB007073";"AATE004463";"AGAP012894"
"AALB004500";"AATE018484";"AGAP006646"
"AALB002410";"AATE017021";"AGAP003030"
"AALB010706";"AATE012466";"AGAP010778"
"AALB010706";"AATE018433";"AGAP010778"
"AALB004931";"AATE005072";"AGAP006138"
"AALB000615";"AATE000875";"AGAP008449"
"AALB007495";"AATE006678";"AGAP004731"
"AALB001519";"AATE020193";"AGAP008154"
"AALB009315";"AATE014139";"AGAP001126"
"AALB003564";"AATE001915";"AGAP004502"
"AALB000767";"AATE020479";"AGAP008774"
"AALB001406";"AATE006133";"AGAP007924"
"AALB008064";"AATE020086";"AGAP001677"
"AALB003800";"AATE016218";"AGAP012415"
"AALB000519";"AATE006507";"AGAP010787"
"AALB009294";"AATE009769";"AGAP002084"
"AALB003175";"AATE009255";"AGAP004302"
"AALB007637";"AATE013110";"AGAP011362"
"AALB007637";"AATE013110";"AGAP028592"
"AALB003747";"AATE000425";"AGAP011916"
"AALB008906";"AATE009318";"AGAP003394"
"AALB004948";"AATE020729";"AGAP007161"
"AALB009876";"AATE002307";"AGAP010626"
"AALB009876";"AATE002307";"AGAP012780"
"AALB006627";"AATE011020";"AGAP000248"
"AALB006233";"AATE013142";"AGAP007558"
"AALB006233";"AATE013142";"AGAP007557"
"AALB008034";"AATE007828";"AGAP008533"
"AALB000041";"AATE002106";"AGAP009068"
"AALB003633";"AATE013507";"AGAP003307"
"AALB000548";"AATE018642";"AGAP009008"
"AALB010829";"AATE005503";"AGAP011775"
"AALB010829";"AATE007354";"AGAP011775"
"AALB005198";"AATE016642";"AGAP006442"
"AALB007706";"AATE010948";"AGAP000483"
"AALB005455";"AATE013369";"AGAP007542"
"AALB008946";"AATE004073";"AGAP002735"
"AALB004173";"AATE013178";"AGAP005313"
"AALB008230";"AATE016378";"AGAP002559"
"AALB003733";"AATE002601";"AGAP011895"
"AALB003364";"AATE009591";"AGAP004029"
"AALB010812";"AATE012956";"AGAP012167"
"AALB005451";"AATE005336";"AGAP007538"
"AALB009873";"AATE021020";"AGAP010624"
"AALB002716";"AATE013120";"AGAP001942"
"AALB006209";"AATE003897";"AGAP007585"
"AALB008309";"AATE013004";"AGAP002217"
"AALB000135";"AATE009696";"AGAP007843"
"AALB000135";"AATE010288";"AGAP007843"
"AALB009321";"AATE002843";"AGAP001136"
"AALB000402";"AATE020501";"AGAP008551"
"AALB010518";"AATE005289";"AGAP011799"
"AALB004316";"AATE014683";"AGAP004840"
"AALB000468";"AATE012542";"AGAP008842"
"AALB007291";"AATE002135";"AGAP005079"
"AALB001248";"AATE002427";"AGAP010357"
"AALB007773";"AATE000573";"AGAP000719"
"AALB002514";"AATE014325";"AGAP004384"
"AALB002514";"AATE014325";"AGAP012507"
"AALB010275";"AATE019643";"AGAP011061"
"AALB003240";"AATE008953";"AGAP006254"
"AALB000946";"AATE011753";"AGAP028145"
"AALB010590";"AATE011741";"AGAP028623"
"AALB007028";"AATE020306";"AGAP011187"
"AALB006552";"AATE017228";"AGAP000314"
"AALB001679";"AATE016921";"AGAP009133"
"AALB007739";"AATE008973";"AGAP001051"
"AALB009953";"AATE020663";"AGAP010514"
"AALB006562";"AATE014786";"AGAP000654"
"AALB006562";"AATE002964";"AGAP000654"
"AALB005911";"AATE010636";"AGAP005345"
"AALB002474";"AATE012583";"AGAP001570"
"AALB010297";"AATE007830";"AGAP011648"
"AALB008317";"AATE017644";"AGAP004619"
"AALB003206";"AATE003466";"AGAP005185"
"AALB005185";"AATE020707";"AGAP006454"
"AALB006417";"AATE012817";"AGAP000814"
"AALB003446";"AATE000899";"AGAP013313"
"AALB007094";"AATE012000";"AGAP011737"
"AALB004554";"AATE004911";"AGAP007095"
"AALB003623";"AATE009392";"AGAP004090"
"AALB009867";"AATE010587";"AGAP010922"
"AALB015886";"AATE013683";"AGAP010647"
"AALB007087";"AATE000888";"AGAP012047"
"AALB009775";"AATE004507";"AGAP028167"
"AALB009775";"AATE004507";"AGAP028007"
"AALB009775";"AATE004507";"AGAP012843"
"AALB009775";"AATE004507";"AGAP012034"
"AALB009775";"AATE021101";"AGAP028167"
"AALB009775";"AATE021101";"AGAP028007"
"AALB009775";"AATE021101";"AGAP012843"
"AALB009775";"AATE021101";"AGAP012034"
"AALB005330";"AATE017847";"AGAP006868"
"AALB003356";"AATE020899";"AGAP013324"
"AALB003356";"AATE005021";"AGAP013324"
"AALB010547";"AATE019115";"AGAP010717"
"AALB001559";"AATE008291";"AGAP008951"
"AALB007544";"AATE013109";"AGAP010313"
"AALB005754";"AATE020911";"AGAP007383"
"AALB002803";"AATE000665";"AGAP003669"
"AALB002281";"AATE019869";"AGAP002781"
"AALB000517";"AATE003101";"AGAP009583"
"AALB007729";"AATE017079";"AGAP001035"
"AALB003463";"AATE020427";"AGAP013338"
"AALB006901";"AATE000895";"AGAP000256"
"AALB003510";"AATE001606";"AGAP002651"
"AALB000215";"AATE012530";"AGAP008718"
"AALB008307";"AATE014851";"AGAP002214"
"AALB000018";"AATE017052";"AGAP012645"
"AALB006245";"AATE009848";"AGAP007638"
"AALB009301";"AATE012824";"AGAP001110"
"AALB008420";"AATE016732";"AGAP004268"
"AALB001093";"AATE009305";"AGAP011224"
"AALB001093";"AATE003235";"AGAP011224"
"AALB006874";"AATE008369";"AGAP000190"
"AALB009618";"AATE009230";"AGAP002062"
"AALB006107";"AATE014503";"AGAP005762"
"AALB005504";"AATE003347";"AGAP007288"
"AALB007737";"AATE003856";"AGAP000992"
"AALB009428";"AATE014732";"AGAP001141"
"AALB000931";"AATE012127";"AGAP008687"
"AALB008539";"AATE003349";"AGAP004087"
"AALB007785";"AATE021183";"AGAP000735"
"AALB007785";"AATE006687";"AGAP000735"
"AALB007923";"AATE015735";"AGAP010129"
"AALB009984";"AATE009520";"AGAP012261"
"AALB006649";"AATE012799";"AGAP000519"
"AALB009610";"AATE010169";"AGAP004483"
"AALB000164";"AATE013492";"AGAP012475"
"AALB000164";"AATE013492";"AGAP008249"
"AALB003515";"AATE019724";"AGAP002648"
"AALB006706";"AATE017200";"AGAP000112"
"AALB010535";"AATE001453";"AGAP028624"
"AALB006292";"AATE009209";"AGAP000523"
"AALB006292";"AATE009209";"AGAP028517"
"AALB006292";"AATE005191";"AGAP000523"
"AALB006292";"AATE005191";"AGAP028517"
"AALB007885";"AATE010901";"AGAP010243"
"AALB015527";"AATE007038";"AGAP010414"
"AALB010620";"AATE002986";"AGAP012191"
"AALB001484";"AATE009883";"AGAP008374"
"AALB007080";"AATE000832";"AGAP012193"
"AALB001858";"AATE017421";"AGAP008222"
"AALB010805";"AATE013936";"AGAP012159"
"AALB008449";"AATE012438";"AGAP002429"
"AALB004071";"AATE012220";"AGAP011581"
"AALB000585";"AATE006064";"AGAP009965"
"AALB005508";"AATE013481";"AGAP007281"
"AALB002416";"AATE008320";"AGAP003036"
"AALB002209";"AATE011619";"AGAP001810"
"AALB000922";"AATE001512";"AGAP008668"
"AALB008592";"AATE002823";"AGAP001738"
"AALB004713";"AATE004493";"AGAP007530"
"AALB000102";"AATE007242";"AGAP009737"
"AALB009206";"AATE004517";"AGAP001279"
"AALB006392";"AATE000443";"AGAP000815"
"AALB004505";"AATE006743";"AGAP006652"
"AALB001331";"AATE005556";"AGAP009537"
"AALB001524";"AATE004999";"AGAP008160"
"AALB004190";"AATE016460";"AGAP005109"
"AALB003426";"AATE001309";"AGAP003128"
"AALB005831";"AATE020862";"AGAP005654"
"AALB003910";"AATE013540";"AGAP002278"
"AALB000768";"AATE001832";"AGAP008775"
"AALB001165";"AATE005009";"AGAP028508"
"AALB001165";"AATE005009";"AGAP028685"
"AALB001165";"AATE005009";"AGAP028690"
"AALB001165";"AATE005009";"AGAP005475"
"AALB001165";"AATE005009";"AGAP005307"
"AALB001165";"AATE005009";"AGAP012588"
"AALB001165";"AATE005009";"AGAP012450"
"AALB001165";"AATE005009";"AGAP005474"
"AALB001165";"AATE005009";"AGAP028506"
"AALB001165";"AATE005009";"AGAP005106"
"AALB001165";"AATE005009";"AGAP012715"
"AALB001165";"AATE005009";"AGAP028687"
"AALB001165";"AATE005009";"AGAP028689"
"AALB001165";"AATE005009";"AGAP028509"
"AALB001165";"AATE005009";"AGAP005478"
"AALB001165";"AATE005009";"AGAP011072"
"AALB001165";"AATE005009";"AGAP028688"
"AALB001165";"AATE005009";"AGAP006696"
"AALB001165";"AATE005009";"AGAP011074"
"AALB001165";"AATE005009";"AGAP028444"
"AALB001165";"AATE005009";"AGAP012552"
"AALB001165";"AATE005009";"AGAP005477"
"AALB001165";"AATE005009";"AGAP001067"
"AALB001165";"AATE005009";"AGAP011073"
"AALB001165";"AATE005009";"AGAP028686"
"AALB001165";"AATE005009";"AGAP005476"
"AALB001165";"AATE005009";"AGAP011071"
"AALB001165";"AATE004225";"AGAP028508"
"AALB001165";"AATE004225";"AGAP028685"
"AALB001165";"AATE004225";"AGAP028690"
"AALB001165";"AATE004225";"AGAP005475"
"AALB001165";"AATE004225";"AGAP005307"
"AALB001165";"AATE004225";"AGAP012588"
"AALB001165";"AATE004225";"AGAP012450"
"AALB001165";"AATE004225";"AGAP005474"
"AALB001165";"AATE004225";"AGAP028506"
"AALB001165";"AATE004225";"AGAP005106"
"AALB001165";"AATE004225";"AGAP012715"
"AALB001165";"AATE004225";"AGAP028687"
"AALB001165";"AATE004225";"AGAP028689"
"AALB001165";"AATE004225";"AGAP028509"
"AALB001165";"AATE004225";"AGAP005478"
"AALB001165";"AATE004225";"AGAP011072"
"AALB001165";"AATE004225";"AGAP028688"
"AALB001165";"AATE004225";"AGAP006696"
"AALB001165";"AATE004225";"AGAP011074"
"AALB001165";"AATE004225";"AGAP028444"
"AALB001165";"AATE004225";"AGAP012552"
"AALB001165";"AATE004225";"AGAP005477"
"AALB001165";"AATE004225";"AGAP001067"
"AALB001165";"AATE004225";"AGAP011073"
"AALB001165";"AATE004225";"AGAP028686"
"AALB001165";"AATE004225";"AGAP005476"
"AALB001165";"AATE004225";"AGAP011071"
"AALB007866";"AATE005394";"AGAP010221"
"AALB007866";"AATE015356";"AGAP010221"
"AALB006411";"AATE017335";"AGAP000420"
"AALB009758";"AATE015333";"AGAP000421"
"AALB009758";"AATE015333";"AGAP011534"
"AALB009758";"AATE017970";"AGAP000421"
"AALB009758";"AATE017970";"AGAP011534"
"AALB002944";"AATE009008";"AGAP002436"
"AALB003191";"AATE011622";"AGAP005164"
"AALB006653";"AATE017073";"AGAP000395"
"AALB002842";"AATE006110";"AGAP003434"
"AALB009082";"AATE019942";"AGAP002124"
"AALB008526";"AATE012336";"AGAP003645"
"AALB008526";"AATE012336";"AGAP012550"
"AALB007041";"AATE010243";"AGAP011174"
"AALB006662";"AATE007017";"AGAP000380"
"AALB009877";"AATE019433";"AGAP010629"
"AALB007658";"AATE018720";"AGAP000788"
"AALB002189";"AATE018846";"AGAP001985"
"AALB007179";"AATE006382";"AGAP002404"
"AALB005007";"AATE005036";"AGAP007052"
"AALB008277";"AATE017197";"AGAP002196"
"AALB001599";"AATE010310";"AGAP009990"
"AALB001599";"AATE006797";"AGAP009990"
"AALB002908";"AATE001145";"AGAP004664"
"AALB007173";"AATE003122";"AGAP012869"
"AALB007173";"AATE003122";"AGAP003527"
"AALB003865";"AATE008195";"AGAP011586"
"AALB009957";"AATE003577";"AGAP012230"
"AALB010139";"AATE013554";"AGAP012061"
"AALB009186";"AATE017166";"AGAP000780"
"AALB009186";"AATE012669";"AGAP000780"
"AALB009588";"AATE000942";"AGAP001325"
"AALB006688";"AATE012424";"AGAP001005"
"AALB000833";"AATE018876";"AGAP007831"
"AALB006278";"AATE018866";"AGAP000175"
"AALB001305";"AATE004070";"AGAP008279"
"AALB001305";"AATE004070";"AGAP008278"
"AALB001305";"AATE003612";"AGAP008279"
"AALB001305";"AATE003612";"AGAP008278"
"AALB004879";"AATE020537";"AGAP005158"
"AALB003453";"AATE006316";"AGAP001775"
"AALB002705";"AATE009110";"AGAP001954"
"AALB001478";"AATE018903";"AGAP008360"
"AALB002947";"AATE009987";"AGAP002440"
"AALB002861";"AATE002633";"AGAP002354"
"AALB008023";"AATE006922";"AGAP008541"
"AALB002992";"AATE016431";"AGAP004528"
"AALB006744";"AATE008154";"AGAP000587"
"AALB006637";"AATE008442";"AGAP000073"
"AALB010219";"AATE008100";"AGAP010548"
"AALB009764";"AATE009015";"AGAP028148"
"AALB005886";"AATE009049";"AGAP005129"
"AALB007450";"AATE002188";"AGAP004686"
"AALB005905";"AATE003881";"AGAP005334"
"AALB008868";"AATE002564";"AGAP003293"
"AALB003184";"AATE018622";"AGAP003662"
"AALB002884";"AATE011333";"AGAP004643"
"AALB008298";"AATE015434";"AGAP001428"
"AALB007481";"AATE001816";"AGAP004714"
"AALB004583";"AATE015987";"AGAP004905"
"AALB006001";"AATE002587";"AGAP005847"
"AALB000596";"AATE018607";"AGAP008482"
"AALB008609";"AATE004392";"AGAP002292"
"AALB014843";"AATE003312";"AGAP002127"
"AALB005472";"AATE020765";"AGAP007700"
"AALB001964";"AATE005498";"AGAP009329"
"AALB007849";"AATE007637";"AGAP010204"
"AALB002000";"AATE004154";"AGAP009867"
"AALB015759";"AATE011329";"AGAP000745"
"AALB003757";"AATE000531";"AGAP002221"
"AALB003044";"AATE017008";"AGAP002070"
"AALB005042";"AATE004919";"AGAP028398"
"AALB009106";"AATE004042";"AGAP002998"
"AALB007947";"AATE004323";"AGAP010075"
"AALB008802";"AATE006399";"AGAP012518"
"AALB015452";"AATE014558";"AGAP005760"
"AALB001939";"AATE008741";"AGAP009858"
"AALB009723";"AATE011231";"AGAP002464"
"AALB005868";"AATE004255";"AGAP006359"
"AALB000897";"AATE000002";"AGAP008641"
"AALB005086";"AATE004989";"AGAP006428"
"AALB014591";"AATE019039";"AGAP000948"
"AALB006023";"AATE018960";"AGAP005433"
"AALB010051";"AATE016000";"AGAP011496"
"AALB010446";"AATE013459";"AGAP013327"
"AALB007841";"AATE001060";"AGAP010196"
"AALB007841";"AATE001060";"AGAP012666"
"AALB009934";"AATE017764";"AGAP011964"
"AALB014052";"AATE013513";"AGAP028001"
"AALB014052";"AATE013513";"AGAP028180"
"AALB000148";"AATE003781";"AGAP009226"
"AALB004283";"AATE013846";"AGAP006012"
"AALB007851";"AATE012066";"AGAP010206"
"AALB001059";"AATE014904";"AGAP009043"
"AALB008156";"AATE016869";"AGAP012705"
"AALB008156";"AATE016869";"AGAP003900"
"AALB002326";"AATE021065";"AGAP002832"
"AALB002326";"AATE020071";"AGAP002832"
"AALB015794";"AATE007778";"AGAP003713"
"AALB005673";"AATE006039";"AGAP006124"
"AALB000276";"AATE004677";"AGAP008322"
"AALB005109";"AATE013774";"AGAP007423"
"AALB015564";"AATE008230";"AGAP028626"
"AALB007998";"AATE015931";"AGAP008979"
"AALB005189";"AATE006486";"AGAP006450"
"AALB000283";"AATE001505";"AGAP008315"
"AALB007542";"AATE006336";"AGAP010311"
"AALB002873";"AATE005806";"AGAP001796"
"AALB001503";"AATE003942";"AGAP008131"
"AALB009779";"AATE011795";"AGAP012044"
"AALB004369";"AATE019882";"AGAP005210"
"AALB003811";"AATE006628";"AGAP012401"
"AALB008062";"AATE004510";"AGAP001674"
"AALB004719";"AATE014425";"AGAP006472"
"AALB003094";"AATE017094";"AGAP002596"
"AALB001652";"AATE005061";"AGAP009439"
"AALB003307";"AATE004062";"AGAP000633"
"AALB003307";"AATE004062";"AGAP005309"
"AALB006793";"AATE018577";"AGAP000266"
"AALB010368";"AATE019248";"AGAP011849"
"AALB010086";"AATE000715";"AGAP012301"
"AALB003901";"AATE007145";"AGAP010402"
"AALB002688";"AATE007738";"AGAP001344"
"AALB001552";"AATE007384";"AGAP001863"
"AALB009727";"AATE017797";"AGAP002469"
"AALB008000";"AATE005265";"AGAP013209"
"AALB006910";"AATE017493";"AGAP000534"
"AALB000179";"AATE004996";"AGAP009887"
"AALB010871";"AATE004223";"AGAP003680"
"AALB008486";"AATE001469";"AGAP010700"
"AALB009708";"AATE008863";"AGAP004573"
"AALB002617";"AATE003978";"AGAP002104"
"AALB003727";"AATE004247";"AGAP011888"
"AALB002614";"AATE002218";"AGAP002106"
"AALB002282";"AATE000309";"AGAP013378"
"AALB002282";"AATE000309";"AGAP013010"
"AALB007170";"AATE010443";"AGAP013525"
"AALB002118";"AATE009975";"AGAP002321"
"AALB000536";"AATE007858";"AGAP009688"
"AALB001606";"AATE007259";"AGAP009500"
"AALB006185";"AATE014799";"AGAP006734"
"AALB009419";"AATE016436";"AGAP001154"
"AALB001733";"AATE018653";"AGAP008412"
"AALB008836";"AATE003852";"AGAP001880"
"AALB001144";"AATE002590";"AGAP009901"
"AALB010737";"AATE002577";"AGAP010653"
"AALB010171";"AATE003837";"AGAP010909"
"AALB001264";"AATE009122";"AGAP010892"
"AALB007120";"AATE006144";"AGAP028189"
"AALB003565";"AATE005844";"AGAP004501"
"AALB001912";"AATE019565";"AGAP013713"
"AALB015864";"AATE008210";"AGAP002525"
"AALB004923";"AATE001554";"AGAP005577"
"AALB008502";"AATE004219";"AGAP011470"
"AALB000885";"AATE019697";"AGAP010018"
"AALB000885";"AATE019697";"AGAP012743"
"AALB009119";"AATE018535";"AGAP003009"
"AALB006129";"AATE011301";"AGAP005653"
"AALB006502";"AATE013887";"AGAP000225"
"AALB008732";"AATE012651";"AGAP003177"
"AALB000560";"AATE000054";"AGAP009675"
"AALB004312";"AATE008558";"AGAP004841"
"AALB009912";"AATE006437";"AGAP011035"
"AALB005356";"AATE020261";"AGAP006683"
"AALB009909";"AATE008096";"AGAP011038"
"AALB005412";"AATE003515";"AGAP007688"
"AALB000143";"AATE020591";"AGAP009075"
"AALB006989";"AATE010335";"AGAP010958"
"AALB005073";"AATE015166";"AGAP005735"
"AALB008340";"AATE002532";"AGAP001652"
"AALB003789";"AATE012025";"AGAP012378"
"AALB008833";"AATE008821";"AGAP001882"
"AALB015763";"AATE015541";"AGAP009806"
"AALB008702";"AATE017469";"AGAP004070"
"AALB004208";"AATE010118";"AGAP007243"
"AALB006551";"AATE013372";"AGAP000313"
"AALB005654";"AATE005029";"AGAP007186"
"AALB005654";"AATE005029";"AGAP007185"
"AALB005941";"AATE015880";"AGAP007085"
"AALB008666";"AATE005552";"AGAP002685"
"AALB008756";"AATE005606";"AGAP002075"
"AALB005789";"AATE010490";"AGAP005961"
"AALB000552";"AATE009352";"AGAP008189"
"AALB000067";"AATE016972";"AGAP008596"
"AALB003763";"AATE000881";"AGAP011935"
"AALB001610";"AATE018845";"AGAP009495"
"AALB000195";"AATE007959";"AGAP009511"
"AALB004098";"AATE007668";"AGAP006342"
"AALB004098";"AATE007668";"AGAP006343"
"AALB006246";"AATE016896";"AGAP007640"
"AALB002865";"AATE007686";"AGAP004324"
"AALB005621";"AATE000183";"AGAP006501"
"AALB003788";"AATE016146";"AGAP012376"
"AALB000210";"AATE016341";"AGAP008005"
"AALB004721";"AATE020078";"AGAP006474"
"AALB004064";"AATE005310";"AGAP011539"
"AALB005666";"AATE004161";"AGAP006133"
"AALB000304";"AATE018514";"AGAP008023"
"AALB001083";"AATE018284";"AGAP008752"
"AALB005093";"AATE013736";"AGAP006435"
"AALB005231";"AATE013871";"AGAP006526"
"AALB005981";"AATE005819";"AGAP007399"
"AALB001334";"AATE018750";"AGAP012649"
"AALB001334";"AATE018750";"AGAP009541"
"AALB001334";"AATE018750";"AGAP009540"
"AALB003093";"AATE005728";"AGAP013190"
"AALB006971";"AATE008381";"AGAP010874"
"AALB015648";"AATE017350";"AGAP010403"
"AALB009614";"AATE012059";"AGAP003154"
"AALB009467";"AATE001105";"AGAP004461"
"AALB010192";"AATE016139";"AGAP012240"
"AALB014112";"AATE005009";"AGAP028508"
"AALB014112";"AATE005009";"AGAP028685"
"AALB014112";"AATE005009";"AGAP028690"
"AALB014112";"AATE005009";"AGAP005475"
"AALB014112";"AATE005009";"AGAP005307"
"AALB014112";"AATE005009";"AGAP012588"
"AALB014112";"AATE005009";"AGAP012450"
"AALB014112";"AATE005009";"AGAP005474"
"AALB014112";"AATE005009";"AGAP028506"
"AALB014112";"AATE005009";"AGAP005106"
"AALB014112";"AATE005009";"AGAP012715"
"AALB014112";"AATE005009";"AGAP028687"
"AALB014112";"AATE005009";"AGAP028689"
"AALB014112";"AATE005009";"AGAP028509"
"AALB014112";"AATE005009";"AGAP005478"
"AALB014112";"AATE005009";"AGAP011072"
"AALB014112";"AATE005009";"AGAP028688"
"AALB014112";"AATE005009";"AGAP006696"
"AALB014112";"AATE005009";"AGAP011074"
"AALB014112";"AATE005009";"AGAP028444"
"AALB014112";"AATE005009";"AGAP012552"
"AALB014112";"AATE005009";"AGAP005477"
"AALB014112";"AATE005009";"AGAP001067"
"AALB014112";"AATE005009";"AGAP011073"
"AALB014112";"AATE005009";"AGAP028686"
"AALB014112";"AATE005009";"AGAP005476"
"AALB014112";"AATE005009";"AGAP011071"
"AALB014112";"AATE004225";"AGAP028508"
"AALB014112";"AATE004225";"AGAP028685"
"AALB014112";"AATE004225";"AGAP028690"
